ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,STC_NCOS_01,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|KEYS,1,0,0,0,0
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,8,1,0

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|KEYS,1,1,1,0,0
SETUP_MATRIX|TYPES,int,int,int,int,int
SETUP_MATRIX,0,0,0,0,0
SETUP_MATRIX,0,0,1,30,30
SETUP_MATRIX,0,0,2,30,30
SETUP_MATRIX,0,0,3,30,30
SETUP_MATRIX,0,0,4,30,30
SETUP_MATRIX,0,0,5,30,30
SETUP_MATRIX,0,0,6,30,30
SETUP_MATRIX,0,0,7,30,30
SETUP_MATRIX,0,0,8,10,10
SETUP_MATRIX,0,1,0,185,185
SETUP_MATRIX,0,1,1,0,0
SETUP_MATRIX,0,1,2,100,100
SETUP_MATRIX,0,1,3,100,100
SETUP_MATRIX,0,1,4,100,100
SETUP_MATRIX,0,1,5,100,100
SETUP_MATRIX,0,1,6,100,100
SETUP_MATRIX,0,1,7,100,100
SETUP_MATRIX,0,1,8,10,10
SETUP_MATRIX,0,2,0,520,520
SETUP_MATRIX,0,2,1,30,30
SETUP_MATRIX,0,2,2,0,0
SETUP_MATRIX,0,2,3,100,100
SETUP_MATRIX,0,2,4,100,100
SETUP_MATRIX,0,2,5,20,20
SETUP_MATRIX,0,2,6,100,100
SETUP_MATRIX,0,2,7,100,100
SETUP_MATRIX,0,2,8,10,10
SETUP_MATRIX,0,3,0,185,185
SETUP_MATRIX,0,3,1,30,30
SETUP_MATRIX,0,3,2,20,20
SETUP_MATRIX,0,3,3,0,0
SETUP_MATRIX,0,3,4,20,20
SETUP_MATRIX,0,3,5,20,20
SETUP_MATRIX,0,3,6,30,30
SETUP_MATRIX,0,3,7,30,30
SETUP_MATRIX,0,3,8,10,10
SETUP_MATRIX,0,4,0,185,185
SETUP_MATRIX,0,4,1,30,30
SETUP_MATRIX,0,4,2,20,20
SETUP_MATRIX,0,4,3,20,20
SETUP_MATRIX,0,4,4,0,0
SETUP_MATRIX,0,4,5,20,20
SETUP_MATRIX,0,4,6,30,30
SETUP_MATRIX,0,4,7,30,30
SETUP_MATRIX,0,4,8,10,10
SETUP_MATRIX,0,5,0,520,520
SETUP_MATRIX,0,5,1,30,30
SETUP_MATRIX,0,5,2,20,20
SETUP_MATRIX,0,5,3,100,100
SETUP_MATRIX,0,5,4,100,100
SETUP_MATRIX,0,5,5,0,0
SETUP_MATRIX,0,5,6,100,100
SETUP_MATRIX,0,5,7,100,100
SETUP_MATRIX,0,5,8,10,10
SETUP_MATRIX,0,6,0,185,185
SETUP_MATRIX,0,6,1,30,30
SETUP_MATRIX,0,6,2,30,30
SETUP_MATRIX,0,6,3,30,30
SETUP_MATRIX,0,6,4,30,30
SETUP_MATRIX,0,6,5,30,30
SETUP_MATRIX,0,6,6,0,0
SETUP_MATRIX,0,6,7,20,20
SETUP_MATRIX,0,6,8,10,10
SETUP_MATRIX,0,7,0,185,185
SETUP_MATRIX,0,7,1,30,30
SETUP_MATRIX,0,7,2,30,30
SETUP_MATRIX,0,7,3,30,30
SETUP_MATRIX,0,7,4,30,30
SETUP_MATRIX,0,7,5,30,30
SETUP_MATRIX,0,7,6,20,20
SETUP_MATRIX,0,7,7,0,0
SETUP_MATRIX,0,7,8,10,10
SETUP_MATRIX,0,8,0,10,10
SETUP_MATRIX,0,8,1,10,10
SETUP_MATRIX,0,8,2,10,10
SETUP_MATRIX,0,8,3,10,10
SETUP_MATRIX,0,8,4,10,10
SETUP_MATRIX,0,8,5,10,10
SETUP_MATRIX,0,8,6,10,10
SETUP_MATRIX,0,8,7,10,10
SETUP_MATRIX,0,8,8,0,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|KEYS,1,0,0
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,0,PerformedOrUnperformed
ACTIVITY,1,1,PerformedOrUnperformed
ACTIVITY,2,2,PerformedOrUnperformed
ACTIVITY,3,3,PerformedOrUnperformed
ACTIVITY,4,4,PerformedOrUnperformed
ACTIVITY,5,5,PerformedOrUnperformed
ACTIVITY,6,6,PerformedOrUnperformed
ACTIVITY,7,7,PerformedOrUnperformed

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,690,End,1,5
DUE_DATE,1,110,End,1,5
DUE_DATE,2,1580,End,1,5
DUE_DATE,3,1260,End,1,5
DUE_DATE,4,110,End,1,5
DUE_DATE,5,1700,End,1,5
DUE_DATE,6,1170,End,1,5
DUE_DATE,7,890,End,1,5

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|KEYS,1,1,0,0,0,0,0,0,0,0,0,0,0
MODE|TYPES,int,int,int,int,int,int,int,int,int,int,int,int,int
MODE,0,0,0,1,10,10,0,1990,10,2000,140,0,0
MODE,1,0,0,1,30,30,30,1970,60,2000,120,0,0
MODE,2,0,0,1,130,130,310,1870,440,2000,120,0,0
MODE,3,0,0,1,180,180,150,1820,330,2000,120,0,0
MODE,4,0,0,1,40,40,40,1960,80,2000,110,0,0
MODE,5,0,0,1,40,40,40,1960,80,2000,110,0,0
MODE,6,0,0,1,30,30,30,1970,60,2000,120,0,0
MODE,7,0,0,1,180,180,160,1820,340,2000,120,0,0

CRITERION_WEIGHT|NAMES,CRITERION,WEIGHT
CRITERION_WEIGHT|KEYS,1,0
CRITERION_WEIGHT|TYPES,string,float

