ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,STC_NCOS_51,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|KEYS,1,0,0,0,0
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,3,1,0

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|KEYS,1,1,1,0,0
SETUP_MATRIX|TYPES,int,int,int,int,int
SETUP_MATRIX,0,0,0,0,0
SETUP_MATRIX,0,0,1,2000,2000
SETUP_MATRIX,0,0,2,2000,2000
SETUP_MATRIX,0,0,3,2000,2000
SETUP_MATRIX,0,1,0,2000,2000
SETUP_MATRIX,0,1,1,0,0
SETUP_MATRIX,0,1,2,2000,2000
SETUP_MATRIX,0,1,3,2000,2000
SETUP_MATRIX,0,2,0,2000,2000
SETUP_MATRIX,0,2,1,2000,2000
SETUP_MATRIX,0,2,2,0,0
SETUP_MATRIX,0,2,3,2000,2000
SETUP_MATRIX,0,3,0,600,600
SETUP_MATRIX,0,3,1,600,600
SETUP_MATRIX,0,3,2,600,600
SETUP_MATRIX,0,3,3,0,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|KEYS,1,0,0
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,0,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,0,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,0,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,0,PerformedOrUnperformed
ACTIVITY,9,0,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,0,PerformedOrUnperformed
ACTIVITY,15,0,PerformedOrUnperformed
ACTIVITY,16,0,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,0,PerformedOrUnperformed
ACTIVITY,19,0,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,0,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,0,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,1,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,1,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,1,PerformedOrUnperformed
ACTIVITY,33,1,PerformedOrUnperformed
ACTIVITY,34,1,PerformedOrUnperformed
ACTIVITY,35,1,PerformedOrUnperformed
ACTIVITY,36,1,PerformedOrUnperformed
ACTIVITY,37,1,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,1,PerformedOrUnperformed
ACTIVITY,40,1,PerformedOrUnperformed
ACTIVITY,41,1,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
