ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,3DPRINT_FARM_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,4,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,2,PerformedOrUnperformed
ACTIVITY,3,3,PerformedOrUnperformed
ACTIVITY,4,2,PerformedOrUnperformed
ACTIVITY,5,4,PerformedOrUnperformed
ACTIVITY,6,5,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,2,PerformedOrUnperformed
ACTIVITY,9,5,PerformedOrUnperformed
ACTIVITY,10,4,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,5,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,5,PerformedOrUnperformed
ACTIVITY,15,3,PerformedOrUnperformed
ACTIVITY,16,4,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,0,PerformedOrUnperformed
ACTIVITY,19,0,PerformedOrUnperformed
ACTIVITY,20,3,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,5,PerformedOrUnperformed
ACTIVITY,23,2,PerformedOrUnperformed
ACTIVITY,24,0,PerformedOrUnperformed
ACTIVITY,25,5,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,3,PerformedOrUnperformed
ACTIVITY,28,0,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,5,PerformedOrUnperformed
ACTIVITY,33,3,PerformedOrUnperformed
ACTIVITY,34,3,PerformedOrUnperformed
ACTIVITY,35,5,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,5,PerformedOrUnperformed
ACTIVITY,39,0,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,15,54.0
SETUP_MATRIX,0,0,2,16,56.4
SETUP_MATRIX,0,0,3,16,56.4
SETUP_MATRIX,0,0,4,44,123.6
SETUP_MATRIX,0,0,5,23,73.2
SETUP_MATRIX,0,1,0,14,51.6
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,18,61.2
SETUP_MATRIX,0,1,3,18,61.2
SETUP_MATRIX,0,1,4,46,128.4
SETUP_MATRIX,0,1,5,24,75.6
SETUP_MATRIX,0,2,0,22,70.8
SETUP_MATRIX,0,2,1,23,73.2
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,25,78.0
SETUP_MATRIX,0,2,4,53,145.2
SETUP_MATRIX,0,2,5,32,94.8
SETUP_MATRIX,0,3,0,14,51.6
SETUP_MATRIX,0,3,1,16,56.4
SETUP_MATRIX,0,3,2,18,61.2
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,46,128.4
SETUP_MATRIX,0,3,5,24,75.6
SETUP_MATRIX,0,4,0,25,78.0
SETUP_MATRIX,0,4,1,27,82.8
SETUP_MATRIX,0,4,2,28,85.2
SETUP_MATRIX,0,4,3,28,85.2
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,35,102.0
SETUP_MATRIX,0,5,0,14,51.6
SETUP_MATRIX,0,5,1,16,56.4
SETUP_MATRIX,0,5,2,18,61.2
SETUP_MATRIX,0,5,3,18,61.2
SETUP_MATRIX,0,5,4,46,128.4
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,10,42.0
SETUP_MATRIX,0,6,1,12,46.8
SETUP_MATRIX,0,6,2,14,51.6
SETUP_MATRIX,0,6,3,14,51.6
SETUP_MATRIX,0,6,4,26,80.4
SETUP_MATRIX,0,6,5,16,56.4

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,1151,End,0,5.3
DUE_DATE,1,2695,End,0,0.5
DUE_DATE,2,674,End,0,6.1
DUE_DATE,3,3342,End,0,0.7
DUE_DATE,4,4570,End,0,0.6
DUE_DATE,5,2272,End,0,0.5
DUE_DATE,6,3374,End,0,0.5
DUE_DATE,7,1163,End,0,6.5
DUE_DATE,8,2502,End,0,0.7
DUE_DATE,9,4145,End,0,0.7
DUE_DATE,10,3131,End,0,0.7
DUE_DATE,11,1071,End,0,6.5
DUE_DATE,12,5186,End,0,0.7
DUE_DATE,13,5954,End,0,0.5
DUE_DATE,14,2817,End,0,0.6
DUE_DATE,15,4762,End,0,0.7
DUE_DATE,16,1087,End,0,2.7
DUE_DATE,17,1815,End,0,2.7
DUE_DATE,18,4061,End,0,0.6
DUE_DATE,19,2558,End,0,2.4
DUE_DATE,20,3995,End,0,0.7
DUE_DATE,21,966,End,0,7.1
DUE_DATE,22,2165,End,0,0.7
DUE_DATE,23,2843,End,0,0.5
DUE_DATE,24,4763,End,0,0.7
DUE_DATE,25,2762,End,0,0.5
DUE_DATE,26,2583,End,0,0.6
DUE_DATE,27,5646,End,0,0.5
DUE_DATE,28,1273,End,0,6.1
DUE_DATE,29,3047,End,0,0.7
DUE_DATE,30,5403,End,0,0.6
DUE_DATE,31,2931,End,0,0.8
DUE_DATE,32,3352,End,0,0.6
DUE_DATE,33,2439,End,0,0.7
DUE_DATE,34,1100,End,0,2.6
DUE_DATE,35,5753,End,0,0.6
DUE_DATE,36,1342,End,0,2.5
DUE_DATE,37,5997,End,0,0.7
DUE_DATE,38,1156,End,0,2.8
DUE_DATE,39,1221,End,0,2.4
DUE_DATE,40,3970,End,0,6.6
DUE_DATE,41,3846,End,0,0.7
DUE_DATE,42,815,End,0,6.8
DUE_DATE,43,2680,End,0,0.5
DUE_DATE,44,2563,End,0,2.0

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,363.0,165,914,5595,1079,1391,985.0,0,0
MODE,1,0,0,1,67.5,75,514,5685,589,4855,1100.0,0,0
MODE,2,0,0,1,147.0,105,378,5655,483,914,889.9,0,0
MODE,3,0,0,1,321.1,247,1148,5513,1395,5502,1536.9,0,0
MODE,4,0,0,1,257.6,184,2367,5576,2551,5760,851.3,0,0
MODE,5,0,0,1,400.4,182,116,5578,298,4432,1466.9,0,0
MODE,6,0,0,1,237.0,237,1192,5523,1429,5534,1421.7,0,0
MODE,7,0,0,1,159.3,177,885,5583,1062,1403,950.7,0,0
MODE,8,0,0,1,208.6,149,286,5611,435,4662,1275.8,0,0
MODE,9,0,0,1,229.0,229,1926,5531,2155,5760,728.6,0,0
MODE,10,0,0,1,145.2,66,923,5694,989,5291,1262.6,0,0
MODE,11,0,0,1,129.6,144,831,5616,975,1311,1198.4,0,0
MODE,12,0,0,1,106.0,106,3038,5654,3144,5760,679.3,0,0
MODE,13,0,0,1,203.4,226,3767,5534,3993,5760,761.5,0,0
MODE,14,0,0,1,131.0,131,686,5629,817,4977,1072.9,0,0
MODE,15,0,0,1,226.2,174,2559,5586,2733,5760,1336.8,0,0
MODE,16,0,0,1,99.0,45,321,5715,366,1807,645.7,0,0
MODE,17,0,0,1,268.2,298,1069,5462,1367,2535,1520.2,0,0
MODE,18,0,0,1,188.1,209,1909,5551,2118,5760,1364.7,0,0
MODE,19,0,0,1,234.9,261,1856,5499,2117,3278,1338.4,0,0
MODE,20,0,0,1,166.4,128,1811,5632,1939,5760,1110.0,0,0
MODE,21,0,0,1,93.6,104,672,5656,776,1206,1208.3,0,0
MODE,22,0,0,1,120.0,120,10,5640,130,4325,1129.0,0,0
MODE,23,0,0,1,156.8,112,638,5648,750,5003,518.1,0,0
MODE,24,0,0,1,235.8,262,2599,5498,2861,5760,645.5,0,0
MODE,25,0,0,1,186.0,186,564,5574,750,4922,1388.6,0,0
MODE,26,0,0,1,412.1,317,400,5443,717,4743,1061.1,0,0
MODE,27,0,0,1,62.4,48,3500,5712,3548,5760,1142.7,0,0
MODE,28,0,0,1,174.6,194,1011,5566,1205,1513,1571.0,0,0
MODE,29,0,0,1,317.0,317,828,5443,1145,5207,754.1,0,0
MODE,30,0,0,1,52.2,58,3237,5702,3295,5760,574.7,0,0
MODE,31,0,0,1,92.4,66,795,5694,861,5091,756.4,0,0
MODE,32,0,0,1,205.0,205,1171,5555,1376,5512,1323.9,0,0
MODE,33,0,0,1,83.2,64,247,5696,311,4599,961.1,0,0
MODE,34,0,0,1,334.1,257,363,5503,620,1820,926.7,0,0
MODE,35,0,0,1,111.0,111,3607,5649,3718,5760,457.1,0,0
MODE,36,0,0,1,80.1,89,652,5671,741,2062,898.0,0,0
MODE,37,0,0,1,138.6,154,3801,5606,3955,5760,1255.8,0,0
MODE,38,0,0,1,97.0,97,458,5663,555,1876,1324.8,0,0
MODE,39,0,0,1,265.5,295,472,5465,767,1941,720.3,0,0
MODE,40,0,0,1,73.8,82,3728,5678,3810,4210,1384.1,0,0
MODE,41,0,0,1,32.4,36,1708,5724,1744,5760,432.8,0,0
MODE,42,0,0,1,245.3,223,531,5537,754,1055,1779.3,0,0
MODE,43,0,0,1,337.7,307,473,5453,780,4840,1419.1,0,0
MODE,44,0,0,1,246.4,224,1863,5536,2087,3283,1080.4,0,0
