ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,KITCHEN_SERVICE_120,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,1,PerformedOrUnperformed
ACTIVITY,1,3,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,1,PerformedOrUnperformed
ACTIVITY,5,3,PerformedOrUnperformed
ACTIVITY,6,2,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,5,PerformedOrUnperformed
ACTIVITY,9,1,PerformedOrUnperformed
ACTIVITY,10,1,PerformedOrUnperformed
ACTIVITY,11,2,PerformedOrUnperformed
ACTIVITY,12,4,PerformedOrUnperformed
ACTIVITY,13,2,PerformedOrUnperformed
ACTIVITY,14,3,PerformedOrUnperformed
ACTIVITY,15,2,PerformedOrUnperformed
ACTIVITY,16,5,PerformedOrUnperformed
ACTIVITY,17,3,PerformedOrUnperformed
ACTIVITY,18,5,PerformedOrUnperformed
ACTIVITY,19,2,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,4,PerformedOrUnperformed
ACTIVITY,22,1,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,2,PerformedOrUnperformed
ACTIVITY,25,1,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,4,PerformedOrUnperformed
ACTIVITY,28,0,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,2,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,5,PerformedOrUnperformed
ACTIVITY,36,5,PerformedOrUnperformed
ACTIVITY,37,4,PerformedOrUnperformed
ACTIVITY,38,4,PerformedOrUnperformed
ACTIVITY,39,1,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,4,PerformedOrUnperformed
ACTIVITY,42,2,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed
ACTIVITY,45,4,PerformedOrUnperformed
ACTIVITY,46,5,PerformedOrUnperformed
ACTIVITY,47,3,PerformedOrUnperformed
ACTIVITY,48,1,PerformedOrUnperformed
ACTIVITY,49,5,PerformedOrUnperformed
ACTIVITY,50,5,PerformedOrUnperformed
ACTIVITY,51,4,PerformedOrUnperformed
ACTIVITY,52,5,PerformedOrUnperformed
ACTIVITY,53,4,PerformedOrUnperformed
ACTIVITY,54,1,PerformedOrUnperformed
ACTIVITY,55,4,PerformedOrUnperformed
ACTIVITY,56,1,PerformedOrUnperformed
ACTIVITY,57,4,PerformedOrUnperformed
ACTIVITY,58,0,PerformedOrUnperformed
ACTIVITY,59,0,PerformedOrUnperformed
ACTIVITY,60,0,PerformedOrUnperformed
ACTIVITY,61,1,PerformedOrUnperformed
ACTIVITY,62,3,PerformedOrUnperformed
ACTIVITY,63,1,PerformedOrUnperformed
ACTIVITY,64,2,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,1,PerformedOrUnperformed
ACTIVITY,67,4,PerformedOrUnperformed
ACTIVITY,68,2,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,3,PerformedOrUnperformed
ACTIVITY,71,4,PerformedOrUnperformed
ACTIVITY,72,5,PerformedOrUnperformed
ACTIVITY,73,3,PerformedOrUnperformed
ACTIVITY,74,0,PerformedOrUnperformed
ACTIVITY,75,3,PerformedOrUnperformed
ACTIVITY,76,2,PerformedOrUnperformed
ACTIVITY,77,1,PerformedOrUnperformed
