ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,NCOS_51,0

RESOURCE|NAMES,RESOURCE_ID,CAPACITY,START_MIN
RESOURCE|KEYS,1,0,0
RESOURCE|TYPES,int,int,int
RESOURCE,0,1,0

ACTIVITY|NAMES,ACTIVITY_ID,PERFORMED_STATUS
ACTIVITY|KEYS,1,0
ACTIVITY|TYPES,int,string
ACTIVITY,0,PerformedOrUnperformed
ACTIVITY,1,PerformedOrUnperformed
ACTIVITY,2,PerformedOrUnperformed
ACTIVITY,3,PerformedOrUnperformed
ACTIVITY,4,PerformedOrUnperformed
ACTIVITY,5,PerformedOrUnperformed
ACTIVITY,6,PerformedOrUnperformed
ACTIVITY,7,PerformedOrUnperformed
ACTIVITY,8,PerformedOrUnperformed
ACTIVITY,9,PerformedOrUnperformed
ACTIVITY,10,PerformedOrUnperformed
ACTIVITY,11,PerformedOrUnperformed
ACTIVITY,12,PerformedOrUnperformed
ACTIVITY,13,PerformedOrUnperformed
ACTIVITY,14,PerformedOrUnperformed
ACTIVITY,15,PerformedOrUnperformed
ACTIVITY,16,PerformedOrUnperformed
ACTIVITY,17,PerformedOrUnperformed
ACTIVITY,18,PerformedOrUnperformed
ACTIVITY,19,PerformedOrUnperformed
ACTIVITY,20,PerformedOrUnperformed
ACTIVITY,21,PerformedOrUnperformed
ACTIVITY,22,PerformedOrUnperformed
ACTIVITY,23,PerformedOrUnperformed
ACTIVITY,24,PerformedOrUnperformed
ACTIVITY,25,PerformedOrUnperformed
ACTIVITY,26,PerformedOrUnperformed
ACTIVITY,27,PerformedOrUnperformed
ACTIVITY,28,PerformedOrUnperformed
ACTIVITY,29,PerformedOrUnperformed
ACTIVITY,30,PerformedOrUnperformed
ACTIVITY,31,PerformedOrUnperformed
ACTIVITY,32,PerformedOrUnperformed
ACTIVITY,33,PerformedOrUnperformed
ACTIVITY,34,PerformedOrUnperformed
ACTIVITY,35,PerformedOrUnperformed
ACTIVITY,36,PerformedOrUnperformed
ACTIVITY,37,PerformedOrUnperformed
ACTIVITY,38,PerformedOrUnperformed
ACTIVITY,39,PerformedOrUnperformed
ACTIVITY,40,PerformedOrUnperformed
ACTIVITY,41,PerformedOrUnperformed
ACTIVITY,42,PerformedOrUnperformed
ACTIVITY,43,PerformedOrUnperformed
ACTIVITY,44,PerformedOrUnperformed
