ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,3DPRINT_FARM_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,4,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,5,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,3,PerformedOrUnperformed
ACTIVITY,5,3,PerformedOrUnperformed
ACTIVITY,6,5,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,2,PerformedOrUnperformed
ACTIVITY,9,1,PerformedOrUnperformed
ACTIVITY,10,2,PerformedOrUnperformed
ACTIVITY,11,3,PerformedOrUnperformed
ACTIVITY,12,3,PerformedOrUnperformed
ACTIVITY,13,1,PerformedOrUnperformed
ACTIVITY,14,0,PerformedOrUnperformed
ACTIVITY,15,5,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,2,PerformedOrUnperformed
ACTIVITY,18,0,PerformedOrUnperformed
ACTIVITY,19,3,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,5,PerformedOrUnperformed
ACTIVITY,22,5,PerformedOrUnperformed
ACTIVITY,23,5,PerformedOrUnperformed
ACTIVITY,24,1,PerformedOrUnperformed
ACTIVITY,25,4,PerformedOrUnperformed
ACTIVITY,26,0,PerformedOrUnperformed
ACTIVITY,27,5,PerformedOrUnperformed
ACTIVITY,28,3,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,3,PerformedOrUnperformed
ACTIVITY,33,3,PerformedOrUnperformed
ACTIVITY,34,4,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,5,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,2,PerformedOrUnperformed
ACTIVITY,40,3,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,3,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,2,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,15,54.0
SETUP_MATRIX,0,0,2,16,56.4
SETUP_MATRIX,0,0,3,16,56.4
SETUP_MATRIX,0,0,4,44,123.6
SETUP_MATRIX,0,0,5,23,73.2
SETUP_MATRIX,0,1,0,14,51.6
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,18,61.2
SETUP_MATRIX,0,1,3,18,61.2
SETUP_MATRIX,0,1,4,46,128.4
SETUP_MATRIX,0,1,5,24,75.6
SETUP_MATRIX,0,2,0,22,70.8
SETUP_MATRIX,0,2,1,23,73.2
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,25,78.0
SETUP_MATRIX,0,2,4,53,145.2
SETUP_MATRIX,0,2,5,32,94.8
SETUP_MATRIX,0,3,0,14,51.6
SETUP_MATRIX,0,3,1,16,56.4
SETUP_MATRIX,0,3,2,18,61.2
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,46,128.4
SETUP_MATRIX,0,3,5,24,75.6
SETUP_MATRIX,0,4,0,25,78.0
SETUP_MATRIX,0,4,1,27,82.8
SETUP_MATRIX,0,4,2,28,85.2
SETUP_MATRIX,0,4,3,28,85.2
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,35,102.0
SETUP_MATRIX,0,5,0,14,51.6
SETUP_MATRIX,0,5,1,16,56.4
SETUP_MATRIX,0,5,2,18,61.2
SETUP_MATRIX,0,5,3,18,61.2
SETUP_MATRIX,0,5,4,46,128.4
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,10,42.0
SETUP_MATRIX,0,6,1,12,46.8
SETUP_MATRIX,0,6,2,14,51.6
SETUP_MATRIX,0,6,3,14,51.6
SETUP_MATRIX,0,6,4,26,80.4
SETUP_MATRIX,0,6,5,16,56.4

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,1143,End,0,6.0
DUE_DATE,1,5826,End,0,0.6
DUE_DATE,2,5984,End,0,0.6
DUE_DATE,3,1215,End,0,6.0
DUE_DATE,4,3917,End,0,0.6
DUE_DATE,5,5386,End,0,0.6
DUE_DATE,6,5451,End,0,0.6
DUE_DATE,7,5874,End,0,0.6
DUE_DATE,8,1314,End,0,2.5
DUE_DATE,9,1366,End,0,6.0
DUE_DATE,10,5918,End,0,0.6
DUE_DATE,11,1800,End,0,2.5
DUE_DATE,12,5249,End,0,0.6
DUE_DATE,13,725,End,0,2.5
DUE_DATE,14,3269,End,0,0.6
DUE_DATE,15,2463,End,0,0.6
DUE_DATE,16,1490,End,0,2.5
DUE_DATE,17,1428,End,0,2.5
DUE_DATE,18,3490,End,0,6.0
DUE_DATE,19,3105,End,0,2.5
DUE_DATE,20,3264,End,0,0.6
DUE_DATE,21,2067,End,0,2.5
DUE_DATE,22,2744,End,0,0.6
DUE_DATE,23,2597,End,0,0.6
DUE_DATE,24,5754,End,0,0.6
DUE_DATE,25,2800,End,0,0.6
DUE_DATE,26,4692,End,0,0.6
DUE_DATE,27,2376,End,0,0.6
DUE_DATE,28,3258,End,0,0.6
DUE_DATE,29,677,End,0,6.0
DUE_DATE,30,2622,End,0,0.6
DUE_DATE,31,877,End,0,6.0
DUE_DATE,32,2125,End,0,2.5
DUE_DATE,33,1038,End,0,2.5
DUE_DATE,34,2617,End,0,0.6
DUE_DATE,35,4366,End,0,2.5
DUE_DATE,36,3028,End,0,0.6
DUE_DATE,37,4154,End,0,0.6
DUE_DATE,38,1292,End,0,6.0
DUE_DATE,39,3100,End,0,0.6
DUE_DATE,40,2546,End,0,0.6
DUE_DATE,41,4002,End,0,2.5
DUE_DATE,42,1370,End,0,2.5
DUE_DATE,43,3323,End,0,6.0
DUE_DATE,44,484,End,0,6.0

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,136.4,62,914,5698,976,1383,1077.6,0,0
MODE,1,0,0,1,107.1,119,3611,5641,3730,5760,872.4,0,0
MODE,2,0,0,1,110.0,110,3846,5650,3956,5760,858.4,0,0
MODE,3,0,0,1,371.8,169,919,5591,1088,1455,1108.7,0,0
MODE,4,0,0,1,404.3,311,1771,5449,2082,5760,1211.7,0,0
MODE,5,0,0,1,89.7,69,3197,5691,3266,5760,1182.1,0,0
MODE,6,0,0,1,186.0,186,3314,5574,3500,5760,1029.9,0,0
MODE,7,0,0,1,127.8,142,3671,5618,3813,5760,1261.8,0,0
MODE,8,0,0,1,85.4,61,596,5699,657,2034,1213.1,0,0
MODE,9,0,0,1,343.2,312,1110,5448,1422,1606,1635.1,0,0
MODE,10,0,0,1,183.4,131,3766,5629,3897,5760,1297.5,0,0
MODE,11,0,0,1,384.8,296,1110,5464,1406,2520,1415.3,0,0
MODE,12,0,0,1,416.0,320,3099,5440,3419,5760,1261.8,0,0
MODE,13,0,0,1,80.3,73,33,5687,106,1445,745.3,0,0
MODE,14,0,0,1,36.9,41,1070,5719,1111,5429,779.1,0,0
MODE,15,0,0,1,113.0,113,283,5647,396,4623,1257.0,0,0
MODE,16,0,0,1,412.1,317,782,5443,1099,2210,936.4,0,0
MODE,17,0,0,1,364.0,260,650,5500,910,2148,1171.1,0,0
MODE,18,0,0,1,238.5,265,3195,5495,3460,3730,1438.9,0,0
MODE,19,0,0,1,63.7,49,2390,5711,2439,3825,822.7,0,0
MODE,20,0,0,1,74.7,83,1070,5677,1153,5424,505.7,0,0
MODE,21,0,0,1,268.0,268,1313,5492,1581,2787,1384.3,0,0
MODE,22,0,0,1,218.0,218,537,5542,755,4904,862.4,0,0
MODE,23,0,0,1,228.0,228,445,5532,673,4757,862.7,0,0
MODE,24,0,0,1,100.1,91,3613,5669,3704,5760,1024.9,0,0
MODE,25,0,0,1,235.4,107,616,5653,723,4960,1173.0,0,0
MODE,26,0,0,1,45.9,51,2546,5709,2597,5760,976.9,0,0
MODE,27,0,0,1,178.0,178,246,5582,424,4536,930.4,0,0
MODE,28,0,0,1,189.8,146,1076,5614,1222,5418,601.2,0,0
MODE,29,0,0,1,199.0,199,439,5561,638,917,1610.2,0,0
MODE,30,0,0,1,213.4,194,469,5566,663,4782,1103.0,0,0
MODE,31,0,0,1,308.0,280,599,5480,879,1117,1840.6,0,0
MODE,32,0,0,1,227.5,175,1382,5585,1557,2845,990.5,0,0
MODE,33,0,0,1,144.3,111,286,5649,397,1758,1407.2,0,0
MODE,34,0,0,1,145.2,66,421,5694,487,4777,589.2,0,0
MODE,35,0,0,1,113.1,87,3591,5673,3678,5086,1460.1,0,0
MODE,36,0,0,1,309.0,309,828,5451,1137,5188,1542.2,0,0
MODE,37,0,0,1,63.0,70,1956,5690,2026,5760,929.6,0,0
MODE,38,0,0,1,238.5,265,1000,5495,1265,1532,1248.3,0,0
MODE,39,0,0,1,121.8,87,903,5673,990,5260,1213.3,0,0
MODE,40,0,0,1,380.9,293,377,5467,670,4706,1162.0,0,0
MODE,41,0,0,1,86.4,96,3250,5664,3346,4722,1072.3,0,0
MODE,42,0,0,1,292.5,225,599,5535,824,2090,1189.5,0,0
MODE,43,0,0,1,110.0,100,3083,5660,3183,3563,1423.8,0,0
MODE,44,0,0,1,296.8,212,256,5548,468,724,1410.0,0,0
