ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,3DPRINT_FARM_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,3,PerformedOrUnperformed
ACTIVITY,1,1,PerformedOrUnperformed
ACTIVITY,2,4,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,4,PerformedOrUnperformed
ACTIVITY,6,0,PerformedOrUnperformed
ACTIVITY,7,2,PerformedOrUnperformed
ACTIVITY,8,0,PerformedOrUnperformed
ACTIVITY,9,1,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,2,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,5,PerformedOrUnperformed
ACTIVITY,15,5,PerformedOrUnperformed
ACTIVITY,16,5,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,0,PerformedOrUnperformed
ACTIVITY,19,1,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,3,PerformedOrUnperformed
ACTIVITY,22,1,PerformedOrUnperformed
ACTIVITY,23,4,PerformedOrUnperformed
ACTIVITY,24,5,PerformedOrUnperformed
ACTIVITY,25,1,PerformedOrUnperformed
ACTIVITY,26,5,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,5,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,3,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,5,PerformedOrUnperformed
ACTIVITY,36,1,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,5,PerformedOrUnperformed
ACTIVITY,39,5,PerformedOrUnperformed
ACTIVITY,40,4,PerformedOrUnperformed
ACTIVITY,41,4,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,5,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,0,PerformedOrUnperformed
ACTIVITY,46,3,PerformedOrUnperformed
ACTIVITY,47,0,PerformedOrUnperformed
ACTIVITY,48,5,PerformedOrUnperformed
ACTIVITY,49,3,PerformedOrUnperformed
ACTIVITY,50,0,PerformedOrUnperformed
ACTIVITY,51,4,PerformedOrUnperformed
ACTIVITY,52,3,PerformedOrUnperformed
ACTIVITY,53,3,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,0,PerformedOrUnperformed
ACTIVITY,56,1,PerformedOrUnperformed
ACTIVITY,57,3,PerformedOrUnperformed
ACTIVITY,58,1,PerformedOrUnperformed
ACTIVITY,59,1,PerformedOrUnperformed
ACTIVITY,60,0,PerformedOrUnperformed
ACTIVITY,61,5,PerformedOrUnperformed
ACTIVITY,62,5,PerformedOrUnperformed
ACTIVITY,63,5,PerformedOrUnperformed
ACTIVITY,64,0,PerformedOrUnperformed
ACTIVITY,65,5,PerformedOrUnperformed
ACTIVITY,66,0,PerformedOrUnperformed
ACTIVITY,67,0,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,1,PerformedOrUnperformed
ACTIVITY,70,0,PerformedOrUnperformed
ACTIVITY,71,1,PerformedOrUnperformed
ACTIVITY,72,1,PerformedOrUnperformed
ACTIVITY,73,1,PerformedOrUnperformed
ACTIVITY,74,0,PerformedOrUnperformed
ACTIVITY,75,2,PerformedOrUnperformed
ACTIVITY,76,3,PerformedOrUnperformed
ACTIVITY,77,0,PerformedOrUnperformed
ACTIVITY,78,4,PerformedOrUnperformed
ACTIVITY,79,1,PerformedOrUnperformed
ACTIVITY,80,2,PerformedOrUnperformed
ACTIVITY,81,0,PerformedOrUnperformed
ACTIVITY,82,3,PerformedOrUnperformed
ACTIVITY,83,3,PerformedOrUnperformed
ACTIVITY,84,0,PerformedOrUnperformed
ACTIVITY,85,0,PerformedOrUnperformed
ACTIVITY,86,3,PerformedOrUnperformed
ACTIVITY,87,1,PerformedOrUnperformed
ACTIVITY,88,5,PerformedOrUnperformed
ACTIVITY,89,3,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,15,54.0
SETUP_MATRIX,0,0,2,16,56.4
SETUP_MATRIX,0,0,3,16,56.4
SETUP_MATRIX,0,0,4,44,123.6
SETUP_MATRIX,0,0,5,23,73.2
SETUP_MATRIX,0,1,0,14,51.6
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,18,61.2
SETUP_MATRIX,0,1,3,18,61.2
SETUP_MATRIX,0,1,4,46,128.4
SETUP_MATRIX,0,1,5,24,75.6
SETUP_MATRIX,0,2,0,22,70.8
SETUP_MATRIX,0,2,1,23,73.2
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,25,78.0
SETUP_MATRIX,0,2,4,53,145.2
SETUP_MATRIX,0,2,5,32,94.8
SETUP_MATRIX,0,3,0,14,51.6
SETUP_MATRIX,0,3,1,16,56.4
SETUP_MATRIX,0,3,2,18,61.2
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,46,128.4
SETUP_MATRIX,0,3,5,24,75.6
SETUP_MATRIX,0,4,0,25,78.0
SETUP_MATRIX,0,4,1,27,82.8
SETUP_MATRIX,0,4,2,28,85.2
SETUP_MATRIX,0,4,3,28,85.2
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,35,102.0
SETUP_MATRIX,0,5,0,14,51.6
SETUP_MATRIX,0,5,1,16,56.4
SETUP_MATRIX,0,5,2,18,61.2
SETUP_MATRIX,0,5,3,18,61.2
SETUP_MATRIX,0,5,4,46,128.4
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,10,42.0
SETUP_MATRIX,0,6,1,12,46.8
SETUP_MATRIX,0,6,2,14,51.6
SETUP_MATRIX,0,6,3,14,51.6
SETUP_MATRIX,0,6,4,26,80.4
SETUP_MATRIX,0,6,5,16,56.4

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,1251,End,0,6.0
DUE_DATE,1,4357,End,0,0.7
DUE_DATE,2,7064,End,0,2.7
DUE_DATE,3,3151,End,0,0.6
DUE_DATE,4,2869,End,0,0.5
DUE_DATE,5,1251,End,0,2.3
DUE_DATE,6,874,End,0,2.8
DUE_DATE,7,4476,End,0,0.7
DUE_DATE,8,5200,End,0,4.8
DUE_DATE,9,2740,End,0,0.7
DUE_DATE,10,9500,End,0,0.5
DUE_DATE,11,5822,End,0,0.7
DUE_DATE,12,3983,End,0,6.4
DUE_DATE,13,3391,End,0,0.5
DUE_DATE,14,2836,End,0,0.7
DUE_DATE,15,7637,End,0,6.6
DUE_DATE,16,3114,End,0,0.6
DUE_DATE,17,2403,End,0,2.4
DUE_DATE,18,5769,End,0,3.1
DUE_DATE,19,8149,End,0,3.0
