ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,BAKERY_L_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,2,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,2,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,1,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,3,PerformedOrUnperformed
ACTIVITY,8,4,PerformedOrUnperformed
ACTIVITY,9,3,PerformedOrUnperformed
ACTIVITY,10,4,PerformedOrUnperformed
ACTIVITY,11,4,PerformedOrUnperformed
ACTIVITY,12,5,PerformedOrUnperformed
ACTIVITY,13,1,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,5,PerformedOrUnperformed
ACTIVITY,16,5,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,3,PerformedOrUnperformed
ACTIVITY,20,4,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,4,PerformedOrUnperformed
ACTIVITY,24,1,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,5,PerformedOrUnperformed
ACTIVITY,27,0,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,5,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,1,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,5,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,3,PerformedOrUnperformed
ACTIVITY,41,3,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed
ACTIVITY,45,3,PerformedOrUnperformed
ACTIVITY,46,4,PerformedOrUnperformed
ACTIVITY,47,3,PerformedOrUnperformed
ACTIVITY,48,1,PerformedOrUnperformed
ACTIVITY,49,4,PerformedOrUnperformed
ACTIVITY,50,0,PerformedOrUnperformed
ACTIVITY,51,0,PerformedOrUnperformed
ACTIVITY,52,1,PerformedOrUnperformed
ACTIVITY,53,0,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,4,PerformedOrUnperformed
ACTIVITY,56,2,PerformedOrUnperformed
ACTIVITY,57,3,PerformedOrUnperformed
ACTIVITY,58,3,PerformedOrUnperformed
ACTIVITY,59,2,PerformedOrUnperformed
ACTIVITY,60,1,PerformedOrUnperformed
ACTIVITY,61,1,PerformedOrUnperformed
ACTIVITY,62,2,PerformedOrUnperformed
ACTIVITY,63,4,PerformedOrUnperformed
ACTIVITY,64,1,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,3,PerformedOrUnperformed
ACTIVITY,67,5,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,3,PerformedOrUnperformed
ACTIVITY,71,1,PerformedOrUnperformed
ACTIVITY,72,3,PerformedOrUnperformed
ACTIVITY,73,0,PerformedOrUnperformed
ACTIVITY,74,1,PerformedOrUnperformed
ACTIVITY,75,0,PerformedOrUnperformed
ACTIVITY,76,3,PerformedOrUnperformed
ACTIVITY,77,0,PerformedOrUnperformed
ACTIVITY,78,2,PerformedOrUnperformed
ACTIVITY,79,3,PerformedOrUnperformed
ACTIVITY,80,4,PerformedOrUnperformed
ACTIVITY,81,5,PerformedOrUnperformed
ACTIVITY,82,3,PerformedOrUnperformed
ACTIVITY,83,1,PerformedOrUnperformed
ACTIVITY,84,2,PerformedOrUnperformed
ACTIVITY,85,1,PerformedOrUnperformed
ACTIVITY,86,0,PerformedOrUnperformed
ACTIVITY,87,1,PerformedOrUnperformed
ACTIVITY,88,5,PerformedOrUnperformed
ACTIVITY,89,1,PerformedOrUnperformed
ACTIVITY,90,2,PerformedOrUnperformed
ACTIVITY,91,1,PerformedOrUnperformed
ACTIVITY,92,0,PerformedOrUnperformed
ACTIVITY,93,1,PerformedOrUnperformed
ACTIVITY,94,2,PerformedOrUnperformed
ACTIVITY,95,2,PerformedOrUnperformed
ACTIVITY,96,5,PerformedOrUnperformed
ACTIVITY,97,4,PerformedOrUnperformed
ACTIVITY,98,3,PerformedOrUnperformed
ACTIVITY,99,4,PerformedOrUnperformed
ACTIVITY,100,2,PerformedOrUnperformed
ACTIVITY,101,0,PerformedOrUnperformed
ACTIVITY,102,0,PerformedOrUnperformed
ACTIVITY,103,0,PerformedOrUnperformed
ACTIVITY,104,1,PerformedOrUnperformed
ACTIVITY,105,1,PerformedOrUnperformed
ACTIVITY,106,5,PerformedOrUnperformed
ACTIVITY,107,1,PerformedOrUnperformed
ACTIVITY,108,4,PerformedOrUnperformed
ACTIVITY,109,2,PerformedOrUnperformed
ACTIVITY,110,4,PerformedOrUnperformed
ACTIVITY,111,0,PerformedOrUnperformed
ACTIVITY,112,0,PerformedOrUnperformed
ACTIVITY,113,3,PerformedOrUnperformed
ACTIVITY,114,4,PerformedOrUnperformed
ACTIVITY,115,1,PerformedOrUnperformed
ACTIVITY,116,3,PerformedOrUnperformed
ACTIVITY,117,0,PerformedOrUnperformed
ACTIVITY,118,4,PerformedOrUnperformed
ACTIVITY,119,2,PerformedOrUnperformed
ACTIVITY,120,0,PerformedOrUnperformed
ACTIVITY,121,2,PerformedOrUnperformed
ACTIVITY,122,0,PerformedOrUnperformed
ACTIVITY,123,4,PerformedOrUnperformed
ACTIVITY,124,0,PerformedOrUnperformed
ACTIVITY,125,4,PerformedOrUnperformed
ACTIVITY,126,3,PerformedOrUnperformed
