ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,BAKERY_M_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,2,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,5,PerformedOrUnperformed
ACTIVITY,3,2,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,0,PerformedOrUnperformed
ACTIVITY,7,2,PerformedOrUnperformed
ACTIVITY,8,4,PerformedOrUnperformed
ACTIVITY,9,2,PerformedOrUnperformed
ACTIVITY,10,3,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,1,PerformedOrUnperformed
ACTIVITY,13,5,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,4,PerformedOrUnperformed
ACTIVITY,16,5,PerformedOrUnperformed
ACTIVITY,17,2,PerformedOrUnperformed
ACTIVITY,18,1,PerformedOrUnperformed
ACTIVITY,19,3,PerformedOrUnperformed
ACTIVITY,20,2,PerformedOrUnperformed
ACTIVITY,21,3,PerformedOrUnperformed
ACTIVITY,22,3,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,4,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,2,PerformedOrUnperformed
ACTIVITY,29,2,PerformedOrUnperformed
ACTIVITY,30,3,PerformedOrUnperformed
ACTIVITY,31,3,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,2,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,5,PerformedOrUnperformed
ACTIVITY,36,4,PerformedOrUnperformed
ACTIVITY,37,5,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,2,PerformedOrUnperformed
ACTIVITY,40,2,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,5,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,2,PerformedOrUnperformed
ACTIVITY,45,2,PerformedOrUnperformed
ACTIVITY,46,0,PerformedOrUnperformed
ACTIVITY,47,2,PerformedOrUnperformed
ACTIVITY,48,4,PerformedOrUnperformed
ACTIVITY,49,4,PerformedOrUnperformed
ACTIVITY,50,2,PerformedOrUnperformed
ACTIVITY,51,5,PerformedOrUnperformed
ACTIVITY,52,4,PerformedOrUnperformed
ACTIVITY,53,5,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,0,PerformedOrUnperformed
ACTIVITY,56,3,PerformedOrUnperformed
ACTIVITY,57,5,PerformedOrUnperformed
ACTIVITY,58,2,PerformedOrUnperformed
ACTIVITY,59,1,PerformedOrUnperformed
ACTIVITY,60,4,PerformedOrUnperformed
ACTIVITY,61,2,PerformedOrUnperformed
ACTIVITY,62,0,PerformedOrUnperformed
ACTIVITY,63,0,PerformedOrUnperformed
ACTIVITY,64,2,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,3,PerformedOrUnperformed
ACTIVITY,67,1,PerformedOrUnperformed
ACTIVITY,68,5,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,1,PerformedOrUnperformed
ACTIVITY,71,0,PerformedOrUnperformed
ACTIVITY,72,4,PerformedOrUnperformed
ACTIVITY,73,2,PerformedOrUnperformed
ACTIVITY,74,1,PerformedOrUnperformed
ACTIVITY,75,2,PerformedOrUnperformed
ACTIVITY,76,2,PerformedOrUnperformed
ACTIVITY,77,1,PerformedOrUnperformed
ACTIVITY,78,0,PerformedOrUnperformed
ACTIVITY,79,1,PerformedOrUnperformed
ACTIVITY,80,2,PerformedOrUnperformed
ACTIVITY,81,0,PerformedOrUnperformed
ACTIVITY,82,3,PerformedOrUnperformed
ACTIVITY,83,5,PerformedOrUnperformed
ACTIVITY,84,0,PerformedOrUnperformed
ACTIVITY,85,0,PerformedOrUnperformed
ACTIVITY,86,1,PerformedOrUnperformed
ACTIVITY,87,1,PerformedOrUnperformed
ACTIVITY,88,5,PerformedOrUnperformed
ACTIVITY,89,1,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,13,35.4
SETUP_MATRIX,0,0,2,8,26.4
SETUP_MATRIX,0,0,3,9,28.2
SETUP_MATRIX,0,0,4,7,24.6
SETUP_MATRIX,0,0,5,7,24.6
SETUP_MATRIX,0,1,0,8,26.4
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,9,28.2
SETUP_MATRIX,0,1,3,10,30.0
SETUP_MATRIX,0,1,4,7,24.6
SETUP_MATRIX,0,1,5,7,24.6
SETUP_MATRIX,0,2,0,8,26.4
SETUP_MATRIX,0,2,1,14,37.2
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,10,30.0
SETUP_MATRIX,0,2,4,7,24.6
SETUP_MATRIX,0,2,5,7,24.6
SETUP_MATRIX,0,3,0,21,49.8
SETUP_MATRIX,0,3,1,14,37.2
SETUP_MATRIX,0,3,2,9,28.2
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,20,48.0
SETUP_MATRIX,0,3,5,8,26.4
SETUP_MATRIX,0,4,0,7,24.6
SETUP_MATRIX,0,4,1,13,35.4
SETUP_MATRIX,0,4,2,8,26.4
SETUP_MATRIX,0,4,3,9,28.2
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,7,24.6
SETUP_MATRIX,0,5,0,7,24.6
SETUP_MATRIX,0,5,1,13,35.4
SETUP_MATRIX,0,5,2,11,31.8
SETUP_MATRIX,0,5,3,12,33.6
