ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,COFFEE_L_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,2,PerformedOrUnperformed
ACTIVITY,2,1,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,1,PerformedOrUnperformed
ACTIVITY,5,1,PerformedOrUnperformed
ACTIVITY,6,4,PerformedOrUnperformed
ACTIVITY,7,1,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,2,PerformedOrUnperformed
ACTIVITY,10,3,PerformedOrUnperformed
ACTIVITY,11,5,PerformedOrUnperformed
ACTIVITY,12,1,PerformedOrUnperformed
ACTIVITY,13,3,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,1,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,4,PerformedOrUnperformed
ACTIVITY,20,1,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,2,PerformedOrUnperformed
ACTIVITY,24,1,PerformedOrUnperformed
ACTIVITY,25,4,PerformedOrUnperformed
ACTIVITY,26,1,PerformedOrUnperformed
ACTIVITY,27,5,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,1,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,2,PerformedOrUnperformed
ACTIVITY,33,4,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,0,PerformedOrUnperformed
ACTIVITY,36,2,PerformedOrUnperformed
ACTIVITY,37,2,PerformedOrUnperformed
ACTIVITY,38,2,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,2,PerformedOrUnperformed
ACTIVITY,41,1,PerformedOrUnperformed
ACTIVITY,42,0,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed
ACTIVITY,45,1,PerformedOrUnperformed
ACTIVITY,46,1,PerformedOrUnperformed
ACTIVITY,47,2,PerformedOrUnperformed
ACTIVITY,48,4,PerformedOrUnperformed
ACTIVITY,49,0,PerformedOrUnperformed
ACTIVITY,50,1,PerformedOrUnperformed
ACTIVITY,51,1,PerformedOrUnperformed
ACTIVITY,52,5,PerformedOrUnperformed
ACTIVITY,53,3,PerformedOrUnperformed
ACTIVITY,54,1,PerformedOrUnperformed
ACTIVITY,55,3,PerformedOrUnperformed
ACTIVITY,56,2,PerformedOrUnperformed
ACTIVITY,57,5,PerformedOrUnperformed
