ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,COFFEE_M_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,1,PerformedOrUnperformed
ACTIVITY,2,2,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,3,PerformedOrUnperformed
ACTIVITY,6,2,PerformedOrUnperformed
ACTIVITY,7,4,PerformedOrUnperformed
ACTIVITY,8,5,PerformedOrUnperformed
ACTIVITY,9,1,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,1,PerformedOrUnperformed
ACTIVITY,13,2,PerformedOrUnperformed
ACTIVITY,14,0,PerformedOrUnperformed
ACTIVITY,15,4,PerformedOrUnperformed
ACTIVITY,16,4,PerformedOrUnperformed
ACTIVITY,17,1,PerformedOrUnperformed
ACTIVITY,18,5,PerformedOrUnperformed
ACTIVITY,19,2,PerformedOrUnperformed
ACTIVITY,20,5,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,1,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,2,PerformedOrUnperformed
ACTIVITY,25,1,PerformedOrUnperformed
ACTIVITY,26,1,PerformedOrUnperformed
ACTIVITY,27,0,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,4,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,3,PerformedOrUnperformed
ACTIVITY,34,1,PerformedOrUnperformed
ACTIVITY,35,0,PerformedOrUnperformed
ACTIVITY,36,3,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,2,PerformedOrUnperformed
ACTIVITY,40,4,PerformedOrUnperformed
ACTIVITY,41,2,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,3,PerformedOrUnperformed
ACTIVITY,45,3,PerformedOrUnperformed
ACTIVITY,46,0,PerformedOrUnperformed
ACTIVITY,47,1,PerformedOrUnperformed
ACTIVITY,48,1,PerformedOrUnperformed
ACTIVITY,49,2,PerformedOrUnperformed
ACTIVITY,50,4,PerformedOrUnperformed
ACTIVITY,51,4,PerformedOrUnperformed
ACTIVITY,52,4,PerformedOrUnperformed
ACTIVITY,53,0,PerformedOrUnperformed
ACTIVITY,54,1,PerformedOrUnperformed
ACTIVITY,55,1,PerformedOrUnperformed
ACTIVITY,56,0,PerformedOrUnperformed
ACTIVITY,57,1,PerformedOrUnperformed
