ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,DENTAL_L_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,2,PerformedOrUnperformed
ACTIVITY,1,2,PerformedOrUnperformed
ACTIVITY,2,3,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,5,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,3,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,4,PerformedOrUnperformed
ACTIVITY,10,3,PerformedOrUnperformed
ACTIVITY,11,1,PerformedOrUnperformed
ACTIVITY,12,2,PerformedOrUnperformed
ACTIVITY,13,1,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,3,PerformedOrUnperformed
ACTIVITY,16,2,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,0,PerformedOrUnperformed
ACTIVITY,19,0,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,0,PerformedOrUnperformed
ACTIVITY,23,2,PerformedOrUnperformed
ACTIVITY,24,3,PerformedOrUnperformed
ACTIVITY,25,4,PerformedOrUnperformed
ACTIVITY,26,2,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,2,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,5,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,2,PerformedOrUnperformed
ACTIVITY,33,4,PerformedOrUnperformed
ACTIVITY,34,3,PerformedOrUnperformed
ACTIVITY,35,2,PerformedOrUnperformed
ACTIVITY,36,2,PerformedOrUnperformed
ACTIVITY,37,1,PerformedOrUnperformed
ACTIVITY,38,5,PerformedOrUnperformed
ACTIVITY,39,1,PerformedOrUnperformed
ACTIVITY,40,1,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,1,PerformedOrUnperformed
ACTIVITY,46,4,PerformedOrUnperformed
ACTIVITY,47,0,PerformedOrUnperformed
ACTIVITY,48,3,PerformedOrUnperformed
ACTIVITY,49,4,PerformedOrUnperformed
ACTIVITY,50,2,PerformedOrUnperformed
ACTIVITY,51,0,PerformedOrUnperformed
ACTIVITY,52,2,PerformedOrUnperformed
ACTIVITY,53,1,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,1,PerformedOrUnperformed
ACTIVITY,56,0,PerformedOrUnperformed
ACTIVITY,57,0,PerformedOrUnperformed
ACTIVITY,58,5,PerformedOrUnperformed
ACTIVITY,59,3,PerformedOrUnperformed
ACTIVITY,60,0,PerformedOrUnperformed
ACTIVITY,61,0,PerformedOrUnperformed
ACTIVITY,62,2,PerformedOrUnperformed
ACTIVITY,63,5,PerformedOrUnperformed
ACTIVITY,64,4,PerformedOrUnperformed
ACTIVITY,65,4,PerformedOrUnperformed
ACTIVITY,66,3,PerformedOrUnperformed
ACTIVITY,67,0,PerformedOrUnperformed
ACTIVITY,68,4,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,2,PerformedOrUnperformed
ACTIVITY,71,3,PerformedOrUnperformed
ACTIVITY,72,4,PerformedOrUnperformed
ACTIVITY,73,3,PerformedOrUnperformed
ACTIVITY,74,2,PerformedOrUnperformed
ACTIVITY,75,1,PerformedOrUnperformed
ACTIVITY,76,5,PerformedOrUnperformed
ACTIVITY,77,2,PerformedOrUnperformed
ACTIVITY,78,2,PerformedOrUnperformed
ACTIVITY,79,0,PerformedOrUnperformed
ACTIVITY,80,1,PerformedOrUnperformed
ACTIVITY,81,4,PerformedOrUnperformed
ACTIVITY,82,5,PerformedOrUnperformed
ACTIVITY,83,2,PerformedOrUnperformed
ACTIVITY,84,1,PerformedOrUnperformed
ACTIVITY,85,0,PerformedOrUnperformed
ACTIVITY,86,0,PerformedOrUnperformed
ACTIVITY,87,4,PerformedOrUnperformed
ACTIVITY,88,2,PerformedOrUnperformed
ACTIVITY,89,0,PerformedOrUnperformed
ACTIVITY,90,0,PerformedOrUnperformed
ACTIVITY,91,1,PerformedOrUnperformed
ACTIVITY,92,1,PerformedOrUnperformed
ACTIVITY,93,4,PerformedOrUnperformed
ACTIVITY,94,0,PerformedOrUnperformed
ACTIVITY,95,2,PerformedOrUnperformed
ACTIVITY,96,2,PerformedOrUnperformed
ACTIVITY,97,1,PerformedOrUnperformed
ACTIVITY,98,1,PerformedOrUnperformed
ACTIVITY,99,2,PerformedOrUnperformed
ACTIVITY,100,0,PerformedOrUnperformed
ACTIVITY,101,4,PerformedOrUnperformed
ACTIVITY,102,5,PerformedOrUnperformed
ACTIVITY,103,1,PerformedOrUnperformed
ACTIVITY,104,2,PerformedOrUnperformed
ACTIVITY,105,4,PerformedOrUnperformed
ACTIVITY,106,0,PerformedOrUnperformed
ACTIVITY,107,1,PerformedOrUnperformed
ACTIVITY,108,5,PerformedOrUnperformed
ACTIVITY,109,0,PerformedOrUnperformed
ACTIVITY,110,4,PerformedOrUnperformed
ACTIVITY,111,5,PerformedOrUnperformed
ACTIVITY,112,0,PerformedOrUnperformed
ACTIVITY,113,3,PerformedOrUnperformed
ACTIVITY,114,0,PerformedOrUnperformed
ACTIVITY,115,0,PerformedOrUnperformed
ACTIVITY,116,3,PerformedOrUnperformed
ACTIVITY,117,4,PerformedOrUnperformed
ACTIVITY,118,1,PerformedOrUnperformed
ACTIVITY,119,1,PerformedOrUnperformed
ACTIVITY,120,2,PerformedOrUnperformed
ACTIVITY,121,0,PerformedOrUnperformed
ACTIVITY,122,0,PerformedOrUnperformed
ACTIVITY,123,0,PerformedOrUnperformed
ACTIVITY,124,2,PerformedOrUnperformed
ACTIVITY,125,0,PerformedOrUnperformed
ACTIVITY,126,2,PerformedOrUnperformed
