ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,DENTAL_M_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,1,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,1,PerformedOrUnperformed
ACTIVITY,5,1,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,2,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,2,PerformedOrUnperformed
ACTIVITY,10,1,PerformedOrUnperformed
ACTIVITY,11,5,PerformedOrUnperformed
ACTIVITY,12,2,PerformedOrUnperformed
ACTIVITY,13,4,PerformedOrUnperformed
ACTIVITY,14,3,PerformedOrUnperformed
ACTIVITY,15,3,PerformedOrUnperformed
ACTIVITY,16,1,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,4,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,0,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,4,PerformedOrUnperformed
ACTIVITY,25,4,PerformedOrUnperformed
ACTIVITY,26,0,PerformedOrUnperformed
ACTIVITY,27,4,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,2,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,4,PerformedOrUnperformed
ACTIVITY,37,3,PerformedOrUnperformed
ACTIVITY,38,2,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,5,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,4,PerformedOrUnperformed
ACTIVITY,45,0,PerformedOrUnperformed
ACTIVITY,46,5,PerformedOrUnperformed
ACTIVITY,47,1,PerformedOrUnperformed
ACTIVITY,48,0,PerformedOrUnperformed
ACTIVITY,49,1,PerformedOrUnperformed
ACTIVITY,50,1,PerformedOrUnperformed
ACTIVITY,51,2,PerformedOrUnperformed
ACTIVITY,52,4,PerformedOrUnperformed
ACTIVITY,53,1,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,4,PerformedOrUnperformed
ACTIVITY,56,2,PerformedOrUnperformed
ACTIVITY,57,1,PerformedOrUnperformed
ACTIVITY,58,0,PerformedOrUnperformed
ACTIVITY,59,2,PerformedOrUnperformed
ACTIVITY,60,4,PerformedOrUnperformed
ACTIVITY,61,2,PerformedOrUnperformed
ACTIVITY,62,4,PerformedOrUnperformed
ACTIVITY,63,3,PerformedOrUnperformed
ACTIVITY,64,1,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,5,PerformedOrUnperformed
ACTIVITY,67,2,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,4,PerformedOrUnperformed
ACTIVITY,70,2,PerformedOrUnperformed
ACTIVITY,71,1,PerformedOrUnperformed
ACTIVITY,72,4,PerformedOrUnperformed
ACTIVITY,73,0,PerformedOrUnperformed
ACTIVITY,74,1,PerformedOrUnperformed
ACTIVITY,75,0,PerformedOrUnperformed
ACTIVITY,76,0,PerformedOrUnperformed
ACTIVITY,77,4,PerformedOrUnperformed
ACTIVITY,78,4,PerformedOrUnperformed
