ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,DENTAL_S_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,1,PerformedOrUnperformed
ACTIVITY,3,3,PerformedOrUnperformed
ACTIVITY,4,4,PerformedOrUnperformed
ACTIVITY,5,1,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,2,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,4,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,5,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,4,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,0,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,0,PerformedOrUnperformed
ACTIVITY,23,5,PerformedOrUnperformed
ACTIVITY,24,3,PerformedOrUnperformed
ACTIVITY,25,1,PerformedOrUnperformed
ACTIVITY,26,0,PerformedOrUnperformed
ACTIVITY,27,2,PerformedOrUnperformed
ACTIVITY,28,2,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,3,PerformedOrUnperformed
ACTIVITY,31,2,PerformedOrUnperformed
ACTIVITY,32,5,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,0,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,1,PerformedOrUnperformed
ACTIVITY,41,1,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,12,63.4
SETUP_MATRIX,0,0,2,10,57.0
SETUP_MATRIX,0,0,3,41,156.2
SETUP_MATRIX,0,0,4,20,89.0
SETUP_MATRIX,0,0,5,14,69.8
SETUP_MATRIX,0,1,0,12,63.4
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,9,53.8
SETUP_MATRIX,0,1,3,40,153.0
SETUP_MATRIX,0,1,4,19,85.8
SETUP_MATRIX,0,1,5,13,66.6
SETUP_MATRIX,0,2,0,11,60.2
SETUP_MATRIX,0,2,1,9,53.8
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,39,149.8
SETUP_MATRIX,0,2,4,17,79.4
SETUP_MATRIX,0,2,5,12,63.4
SETUP_MATRIX,0,3,0,27,111.4
SETUP_MATRIX,0,3,1,25,105.0
SETUP_MATRIX,0,3,2,24,101.8
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,34,133.8
SETUP_MATRIX,0,3,5,28,114.6
SETUP_MATRIX,0,4,0,14,69.8
SETUP_MATRIX,0,4,1,13,66.6
SETUP_MATRIX,0,4,2,11,60.2
SETUP_MATRIX,0,4,3,42,159.4
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,15,73.0
SETUP_MATRIX,0,5,0,14,69.8
SETUP_MATRIX,0,5,1,12,63.4
SETUP_MATRIX,0,5,2,10,57.0
SETUP_MATRIX,0,5,3,42,159.4
SETUP_MATRIX,0,5,4,20,89.0
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,10,57.0
SETUP_MATRIX,0,6,1,8,50.6
SETUP_MATRIX,0,6,2,6,44.2
SETUP_MATRIX,0,6,3,22,95.4
SETUP_MATRIX,0,6,4,12,63.4
SETUP_MATRIX,0,6,5,11,60.2

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,1546,End,0,8.0
DUE_DATE,1,736,End,0,8.0
DUE_DATE,2,5096,End,0,1.5
DUE_DATE,3,1672,End,0,4.0
DUE_DATE,4,5086,End,0,1.5
DUE_DATE,5,802,End,0,8.0
DUE_DATE,6,1578,End,0,4.0
DUE_DATE,7,1749,End,0,4.0
DUE_DATE,8,1704,End,0,4.0
DUE_DATE,9,3228,End,0,4.0
DUE_DATE,10,2313,End,0,4.0
DUE_DATE,11,3081,End,0,4.0
DUE_DATE,12,1998,End,0,4.0
DUE_DATE,13,4512,End,0,1.5
DUE_DATE,14,1990,End,0,4.0
DUE_DATE,15,4773,End,0,1.5
DUE_DATE,16,851,End,0,8.0
DUE_DATE,17,6270,End,0,1.5
DUE_DATE,18,1225,End,0,8.0
DUE_DATE,19,3270,End,0,4.0
DUE_DATE,20,1919,End,0,8.0
DUE_DATE,21,4816,End,0,1.5
DUE_DATE,22,473,End,0,8.0
DUE_DATE,23,2490,End,0,4.0
DUE_DATE,24,1971,End,0,4.0
DUE_DATE,25,4273,End,0,1.5
DUE_DATE,26,1249,End,0,8.0
DUE_DATE,27,4970,End,0,1.5
DUE_DATE,28,1823,End,0,4.0
DUE_DATE,29,5452,End,0,1.5
DUE_DATE,30,3157,End,0,4.0
DUE_DATE,31,2507,End,0,4.0
DUE_DATE,32,1232,End,0,8.0
DUE_DATE,33,1786,End,0,4.0
DUE_DATE,34,1968,End,0,4.0
DUE_DATE,35,1550,End,0,4.0
DUE_DATE,36,3072,End,0,4.0
DUE_DATE,37,2027,End,0,4.0
DUE_DATE,38,3111,End,0,4.0
DUE_DATE,39,451,End,0,8.0
DUE_DATE,40,1715,End,0,4.0
DUE_DATE,41,1733,End,0,4.0
DUE_DATE,42,4824,End,0,1.5
DUE_DATE,43,5837,End,0,1.5
DUE_DATE,44,5289,End,0,1.5

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,102.0,34,1238,2846,1272,1786,1118.2,0,0
MODE,1,0,0,1,176.4,49,418,2831,467,976,1175.2,0,0
MODE,2,0,0,1,51.2,32,535,2848,567,2880,462.5,0,0
MODE,3,0,0,1,355.5,79,181,2801,260,2392,1338.2,0,0
MODE,4,0,0,1,158.4,44,603,2836,647,2880,1119.2,0,0
MODE,5,0,0,1,67.2,42,509,2838,551,1042,1379.2,0,0
MODE,6,0,0,1,48.0,30,43,2850,73,2298,815.0,0,0
MODE,7,0,0,1,103.6,37,194,2843,231,2469,682.8,0,0
MODE,8,0,0,1,49.6,31,268,2849,299,2424,749.5,0,0
MODE,9,0,0,1,18.7,17,1860,2863,1877,2880,614.9,0,0
MODE,10,0,0,1,112.0,40,928,2840,968,2880,1204.5,0,0
MODE,11,0,0,1,194.4,54,1575,2826,1629,2880,774.9,0,0
MODE,12,0,0,1,109.2,39,510,2841,549,2718,999.9,0,0
MODE,13,0,0,1,106.4,38,353,2842,391,2880,910.0,0,0
MODE,14,0,0,1,180.0,60,561,2820,621,2710,828.5,0,0
MODE,15,0,0,1,54.4,34,559,2846,593,2880,487.6,0,0
MODE,16,0,0,1,259.2,72,565,2808,637,1091,1310.4,0,0
MODE,17,0,0,1,136.8,38,1670,2842,1708,2880,809.3,0,0
MODE,18,0,0,1,16.5,15,932,2865,947,1465,1108.6,0,0
MODE,19,0,0,1,114.8,41,1839,2839,1880,2880,630.4,0,0
MODE,20,0,0,1,182.0,65,1602,2815,1667,2159,881.8,0,0
MODE,21,0,0,1,170.8,61,395,2819,456,2880,824.9,0,0
MODE,22,0,0,1,173.6,62,164,2818,226,713,1087.5,0,0
MODE,23,0,0,1,102.0,34,971,2846,1005,2880,1184.8,0,0
MODE,24,0,0,1,301.5,67,430,2813,497,2691,1045.8,0,0
MODE,25,0,0,1,65.6,41,0,2839,41,2880,763.5,0,0
MODE,26,0,0,1,165.2,59,962,2821,1021,1489,860.9,0,0
MODE,27,0,0,1,26.4,24,440,2856,464,2880,440.5,0,0
MODE,28,0,0,1,22.0,20,345,2860,365,2543,643.8,0,0
MODE,29,0,0,1,117.6,42,899,2838,941,2880,1023.1,0,0
MODE,30,0,0,1,180.0,40,1661,2840,1701,2880,698.5,0,0
MODE,31,0,0,1,19.8,18,999,2862,1017,2880,904.0,0,0
MODE,32,0,0,1,99.0,33,919,2847,952,1472,1359.5,0,0
MODE,33,0,0,1,176.4,63,232,2817,295,2506,696.3,0,0
MODE,34,0,0,1,117.0,39,459,2841,498,2688,1038.7,0,0
MODE,35,0,0,1,301.5,67,63,2813,130,2270,1192.3,0,0
MODE,36,0,0,1,128.8,46,1641,2834,1687,2880,1148.1,0,0
MODE,37,0,0,1,170.8,61,574,2819,635,2747,813.6,0,0
MODE,38,0,0,1,142.8,51,1613,2829,1664,2880,1110.7,0,0
MODE,39,0,0,1,118.8,33,150,2847,183,691,1250.3,0,0
MODE,40,0,0,1,46.4,29,345,2851,374,2435,817.1,0,0
MODE,41,0,0,1,54.4,34,270,2846,304,2453,1168.2,0,0
MODE,42,0,0,1,65.6,41,261,2839,302,2880,585.7,0,0
MODE,43,0,0,1,70.4,44,1260,2836,1304,2880,996.3,0,0
MODE,44,0,0,1,33.6,21,851,2859,872,2880,642.8,0,0
