ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,KITCHEN_SERVICE_240,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,2,PerformedOrUnperformed
ACTIVITY,1,2,PerformedOrUnperformed
ACTIVITY,2,4,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,3,PerformedOrUnperformed
ACTIVITY,5,2,PerformedOrUnperformed
ACTIVITY,6,4,PerformedOrUnperformed
ACTIVITY,7,3,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,1,PerformedOrUnperformed
ACTIVITY,10,2,PerformedOrUnperformed
ACTIVITY,11,2,PerformedOrUnperformed
ACTIVITY,12,5,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,0,PerformedOrUnperformed
ACTIVITY,15,3,PerformedOrUnperformed
ACTIVITY,16,0,PerformedOrUnperformed
ACTIVITY,17,0,PerformedOrUnperformed
ACTIVITY,18,3,PerformedOrUnperformed
ACTIVITY,19,0,PerformedOrUnperformed
ACTIVITY,20,3,PerformedOrUnperformed
ACTIVITY,21,1,PerformedOrUnperformed
ACTIVITY,22,3,PerformedOrUnperformed
ACTIVITY,23,4,PerformedOrUnperformed
ACTIVITY,24,2,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,2,PerformedOrUnperformed
ACTIVITY,27,4,PerformedOrUnperformed
ACTIVITY,28,3,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,3,PerformedOrUnperformed
ACTIVITY,31,5,PerformedOrUnperformed
ACTIVITY,32,2,PerformedOrUnperformed
ACTIVITY,33,2,PerformedOrUnperformed
ACTIVITY,34,2,PerformedOrUnperformed
ACTIVITY,35,0,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,5,PerformedOrUnperformed
ACTIVITY,38,2,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,0,PerformedOrUnperformed
ACTIVITY,42,0,PerformedOrUnperformed
ACTIVITY,43,2,PerformedOrUnperformed
ACTIVITY,44,5,PerformedOrUnperformed
ACTIVITY,45,2,PerformedOrUnperformed
ACTIVITY,46,3,PerformedOrUnperformed
ACTIVITY,47,1,PerformedOrUnperformed
ACTIVITY,48,2,PerformedOrUnperformed
ACTIVITY,49,5,PerformedOrUnperformed
ACTIVITY,50,0,PerformedOrUnperformed
ACTIVITY,51,3,PerformedOrUnperformed
ACTIVITY,52,1,PerformedOrUnperformed
ACTIVITY,53,2,PerformedOrUnperformed
ACTIVITY,54,4,PerformedOrUnperformed
ACTIVITY,55,2,PerformedOrUnperformed
ACTIVITY,56,5,PerformedOrUnperformed
ACTIVITY,57,1,PerformedOrUnperformed
ACTIVITY,58,2,PerformedOrUnperformed
ACTIVITY,59,3,PerformedOrUnperformed
ACTIVITY,60,0,PerformedOrUnperformed
ACTIVITY,61,0,PerformedOrUnperformed
ACTIVITY,62,5,PerformedOrUnperformed
ACTIVITY,63,0,PerformedOrUnperformed
ACTIVITY,64,1,PerformedOrUnperformed
ACTIVITY,65,0,PerformedOrUnperformed
ACTIVITY,66,0,PerformedOrUnperformed
ACTIVITY,67,4,PerformedOrUnperformed
ACTIVITY,68,4,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,1,PerformedOrUnperformed
ACTIVITY,71,3,PerformedOrUnperformed
ACTIVITY,72,1,PerformedOrUnperformed
ACTIVITY,73,1,PerformedOrUnperformed
ACTIVITY,74,1,PerformedOrUnperformed
ACTIVITY,75,5,PerformedOrUnperformed
ACTIVITY,76,4,PerformedOrUnperformed
ACTIVITY,77,3,PerformedOrUnperformed
ACTIVITY,78,3,PerformedOrUnperformed
ACTIVITY,79,3,PerformedOrUnperformed
ACTIVITY,80,3,PerformedOrUnperformed
ACTIVITY,81,0,PerformedOrUnperformed
ACTIVITY,82,1,PerformedOrUnperformed
ACTIVITY,83,5,PerformedOrUnperformed
ACTIVITY,84,5,PerformedOrUnperformed
ACTIVITY,85,1,PerformedOrUnperformed
ACTIVITY,86,1,PerformedOrUnperformed
ACTIVITY,87,0,PerformedOrUnperformed
ACTIVITY,88,2,PerformedOrUnperformed
ACTIVITY,89,2,PerformedOrUnperformed
ACTIVITY,90,2,PerformedOrUnperformed
ACTIVITY,91,2,PerformedOrUnperformed
ACTIVITY,92,2,PerformedOrUnperformed
ACTIVITY,93,3,PerformedOrUnperformed
ACTIVITY,94,4,PerformedOrUnperformed
ACTIVITY,95,4,PerformedOrUnperformed
ACTIVITY,96,0,PerformedOrUnperformed
ACTIVITY,97,4,PerformedOrUnperformed
ACTIVITY,98,2,PerformedOrUnperformed
ACTIVITY,99,2,PerformedOrUnperformed
ACTIVITY,100,1,PerformedOrUnperformed
ACTIVITY,101,0,PerformedOrUnperformed
ACTIVITY,102,5,PerformedOrUnperformed
ACTIVITY,103,2,PerformedOrUnperformed
ACTIVITY,104,1,PerformedOrUnperformed
ACTIVITY,105,1,PerformedOrUnperformed
ACTIVITY,106,5,PerformedOrUnperformed
ACTIVITY,107,0,PerformedOrUnperformed
ACTIVITY,108,3,PerformedOrUnperformed
ACTIVITY,109,5,PerformedOrUnperformed
ACTIVITY,110,1,PerformedOrUnperformed
ACTIVITY,111,1,PerformedOrUnperformed
ACTIVITY,112,4,PerformedOrUnperformed
ACTIVITY,113,3,PerformedOrUnperformed
ACTIVITY,114,2,PerformedOrUnperformed
ACTIVITY,115,5,PerformedOrUnperformed
ACTIVITY,116,0,PerformedOrUnperformed
ACTIVITY,117,2,PerformedOrUnperformed
ACTIVITY,118,2,PerformedOrUnperformed
ACTIVITY,119,2,PerformedOrUnperformed
ACTIVITY,120,3,PerformedOrUnperformed
ACTIVITY,121,0,PerformedOrUnperformed
ACTIVITY,122,2,PerformedOrUnperformed
ACTIVITY,123,1,PerformedOrUnperformed
ACTIVITY,124,0,PerformedOrUnperformed
ACTIVITY,125,1,PerformedOrUnperformed
ACTIVITY,126,0,PerformedOrUnperformed
