ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LASER_L_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,3,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,2,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,3,PerformedOrUnperformed
ACTIVITY,5,3,PerformedOrUnperformed
ACTIVITY,6,4,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,3,PerformedOrUnperformed
ACTIVITY,9,3,PerformedOrUnperformed
ACTIVITY,10,4,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,2,PerformedOrUnperformed
ACTIVITY,13,4,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,0,PerformedOrUnperformed
ACTIVITY,16,2,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,4,PerformedOrUnperformed
ACTIVITY,20,4,PerformedOrUnperformed
ACTIVITY,21,0,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,4,PerformedOrUnperformed
ACTIVITY,24,0,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,2,PerformedOrUnperformed
ACTIVITY,28,3,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,3,PerformedOrUnperformed
ACTIVITY,33,3,PerformedOrUnperformed
ACTIVITY,34,1,PerformedOrUnperformed
ACTIVITY,35,1,PerformedOrUnperformed
ACTIVITY,36,4,PerformedOrUnperformed
ACTIVITY,37,1,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,5,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,2,PerformedOrUnperformed
ACTIVITY,42,3,PerformedOrUnperformed
ACTIVITY,43,2,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,5,PerformedOrUnperformed
ACTIVITY,46,4,PerformedOrUnperformed
ACTIVITY,47,5,PerformedOrUnperformed
ACTIVITY,48,2,PerformedOrUnperformed
ACTIVITY,49,0,PerformedOrUnperformed
ACTIVITY,50,0,PerformedOrUnperformed
ACTIVITY,51,1,PerformedOrUnperformed
ACTIVITY,52,1,PerformedOrUnperformed
ACTIVITY,53,2,PerformedOrUnperformed
ACTIVITY,54,4,PerformedOrUnperformed
ACTIVITY,55,4,PerformedOrUnperformed
ACTIVITY,56,3,PerformedOrUnperformed
ACTIVITY,57,4,PerformedOrUnperformed
ACTIVITY,58,0,PerformedOrUnperformed
ACTIVITY,59,3,PerformedOrUnperformed
ACTIVITY,60,4,PerformedOrUnperformed
ACTIVITY,61,4,PerformedOrUnperformed
ACTIVITY,62,3,PerformedOrUnperformed
ACTIVITY,63,3,PerformedOrUnperformed
ACTIVITY,64,0,PerformedOrUnperformed
ACTIVITY,65,3,PerformedOrUnperformed
ACTIVITY,66,2,PerformedOrUnperformed
ACTIVITY,67,4,PerformedOrUnperformed
ACTIVITY,68,4,PerformedOrUnperformed
ACTIVITY,69,2,PerformedOrUnperformed
ACTIVITY,70,0,PerformedOrUnperformed
ACTIVITY,71,3,PerformedOrUnperformed
ACTIVITY,72,2,PerformedOrUnperformed
ACTIVITY,73,3,PerformedOrUnperformed
ACTIVITY,74,0,PerformedOrUnperformed
ACTIVITY,75,1,PerformedOrUnperformed
ACTIVITY,76,4,PerformedOrUnperformed
ACTIVITY,77,3,PerformedOrUnperformed
ACTIVITY,78,5,PerformedOrUnperformed
ACTIVITY,79,1,PerformedOrUnperformed
ACTIVITY,80,4,PerformedOrUnperformed
ACTIVITY,81,2,PerformedOrUnperformed
ACTIVITY,82,0,PerformedOrUnperformed
ACTIVITY,83,0,PerformedOrUnperformed
ACTIVITY,84,0,PerformedOrUnperformed
ACTIVITY,85,2,PerformedOrUnperformed
ACTIVITY,86,2,PerformedOrUnperformed
ACTIVITY,87,4,PerformedOrUnperformed
ACTIVITY,88,1,PerformedOrUnperformed
ACTIVITY,89,1,PerformedOrUnperformed
ACTIVITY,90,5,PerformedOrUnperformed
ACTIVITY,91,1,PerformedOrUnperformed
ACTIVITY,92,0,PerformedOrUnperformed
ACTIVITY,93,0,PerformedOrUnperformed
ACTIVITY,94,4,PerformedOrUnperformed
ACTIVITY,95,4,PerformedOrUnperformed
ACTIVITY,96,2,PerformedOrUnperformed
ACTIVITY,97,3,PerformedOrUnperformed
ACTIVITY,98,1,PerformedOrUnperformed
ACTIVITY,99,4,PerformedOrUnperformed
ACTIVITY,100,0,PerformedOrUnperformed
ACTIVITY,101,1,PerformedOrUnperformed
ACTIVITY,102,1,PerformedOrUnperformed
ACTIVITY,103,0,PerformedOrUnperformed
ACTIVITY,104,5,PerformedOrUnperformed
ACTIVITY,105,3,PerformedOrUnperformed
ACTIVITY,106,3,PerformedOrUnperformed
ACTIVITY,107,3,PerformedOrUnperformed
ACTIVITY,108,4,PerformedOrUnperformed
ACTIVITY,109,2,PerformedOrUnperformed
ACTIVITY,110,4,PerformedOrUnperformed
ACTIVITY,111,2,PerformedOrUnperformed
ACTIVITY,112,4,PerformedOrUnperformed
ACTIVITY,113,2,PerformedOrUnperformed
ACTIVITY,114,2,PerformedOrUnperformed
ACTIVITY,115,2,PerformedOrUnperformed
ACTIVITY,116,4,PerformedOrUnperformed
ACTIVITY,117,2,PerformedOrUnperformed
ACTIVITY,118,3,PerformedOrUnperformed
ACTIVITY,119,4,PerformedOrUnperformed
ACTIVITY,120,1,PerformedOrUnperformed
ACTIVITY,121,1,PerformedOrUnperformed
ACTIVITY,122,0,PerformedOrUnperformed
ACTIVITY,123,1,PerformedOrUnperformed
ACTIVITY,124,1,PerformedOrUnperformed
ACTIVITY,125,2,PerformedOrUnperformed
ACTIVITY,126,2,PerformedOrUnperformed
ACTIVITY,127,0,PerformedOrUnperformed
ACTIVITY,128,0,PerformedOrUnperformed
ACTIVITY,129,5,PerformedOrUnperformed
ACTIVITY,130,0,PerformedOrUnperformed
ACTIVITY,131,5,PerformedOrUnperformed
ACTIVITY,132,3,PerformedOrUnperformed
ACTIVITY,133,1,PerformedOrUnperformed
ACTIVITY,134,3,PerformedOrUnperformed
ACTIVITY,135,1,PerformedOrUnperformed
ACTIVITY,136,3,PerformedOrUnperformed
ACTIVITY,137,3,PerformedOrUnperformed
ACTIVITY,138,1,PerformedOrUnperformed
ACTIVITY,139,0,PerformedOrUnperformed
ACTIVITY,140,4,PerformedOrUnperformed
ACTIVITY,141,5,PerformedOrUnperformed
ACTIVITY,142,5,PerformedOrUnperformed
ACTIVITY,143,4,PerformedOrUnperformed
ACTIVITY,144,5,PerformedOrUnperformed
ACTIVITY,145,0,PerformedOrUnperformed
ACTIVITY,146,3,PerformedOrUnperformed
ACTIVITY,147,3,PerformedOrUnperformed
ACTIVITY,148,1,PerformedOrUnperformed
ACTIVITY,149,1,PerformedOrUnperformed
ACTIVITY,150,2,PerformedOrUnperformed
ACTIVITY,151,4,PerformedOrUnperformed
ACTIVITY,152,1,PerformedOrUnperformed
ACTIVITY,153,5,PerformedOrUnperformed
ACTIVITY,154,1,PerformedOrUnperformed
