ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LASER_M_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,1,PerformedOrUnperformed
ACTIVITY,1,3,PerformedOrUnperformed
ACTIVITY,2,1,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,2,PerformedOrUnperformed
ACTIVITY,9,5,PerformedOrUnperformed
ACTIVITY,10,3,PerformedOrUnperformed
ACTIVITY,11,5,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,3,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,2,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,2,PerformedOrUnperformed
ACTIVITY,18,1,PerformedOrUnperformed
ACTIVITY,19,5,PerformedOrUnperformed
ACTIVITY,20,2,PerformedOrUnperformed
ACTIVITY,21,5,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,3,PerformedOrUnperformed
ACTIVITY,25,1,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,3,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,1,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,1,PerformedOrUnperformed
ACTIVITY,35,4,PerformedOrUnperformed
ACTIVITY,36,1,PerformedOrUnperformed
ACTIVITY,37,5,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,3,PerformedOrUnperformed
ACTIVITY,40,1,PerformedOrUnperformed
ACTIVITY,41,5,PerformedOrUnperformed
ACTIVITY,42,2,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,5,PerformedOrUnperformed
ACTIVITY,46,0,PerformedOrUnperformed
ACTIVITY,47,0,PerformedOrUnperformed
ACTIVITY,48,2,PerformedOrUnperformed
ACTIVITY,49,2,PerformedOrUnperformed
ACTIVITY,50,1,PerformedOrUnperformed
ACTIVITY,51,0,PerformedOrUnperformed
ACTIVITY,52,0,PerformedOrUnperformed
ACTIVITY,53,2,PerformedOrUnperformed
ACTIVITY,54,1,PerformedOrUnperformed
ACTIVITY,55,3,PerformedOrUnperformed
ACTIVITY,56,3,PerformedOrUnperformed
ACTIVITY,57,5,PerformedOrUnperformed
ACTIVITY,58,2,PerformedOrUnperformed
ACTIVITY,59,4,PerformedOrUnperformed
ACTIVITY,60,3,PerformedOrUnperformed
ACTIVITY,61,2,PerformedOrUnperformed
ACTIVITY,62,3,PerformedOrUnperformed
ACTIVITY,63,5,PerformedOrUnperformed
ACTIVITY,64,5,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,1,PerformedOrUnperformed
ACTIVITY,67,3,PerformedOrUnperformed
ACTIVITY,68,4,PerformedOrUnperformed
ACTIVITY,69,5,PerformedOrUnperformed
ACTIVITY,70,0,PerformedOrUnperformed
ACTIVITY,71,0,PerformedOrUnperformed
ACTIVITY,72,1,PerformedOrUnperformed
ACTIVITY,73,2,PerformedOrUnperformed
ACTIVITY,74,0,PerformedOrUnperformed
ACTIVITY,75,5,PerformedOrUnperformed
ACTIVITY,76,0,PerformedOrUnperformed
ACTIVITY,77,1,PerformedOrUnperformed
ACTIVITY,78,3,PerformedOrUnperformed
