ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LASER_S_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,0,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,3,PerformedOrUnperformed
ACTIVITY,4,5,PerformedOrUnperformed
ACTIVITY,5,0,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,1,PerformedOrUnperformed
ACTIVITY,8,0,PerformedOrUnperformed
ACTIVITY,9,0,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,5,PerformedOrUnperformed
ACTIVITY,13,3,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,0,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,1,PerformedOrUnperformed
ACTIVITY,19,3,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,1,PerformedOrUnperformed
ACTIVITY,22,1,PerformedOrUnperformed
ACTIVITY,23,0,PerformedOrUnperformed
ACTIVITY,24,0,PerformedOrUnperformed
ACTIVITY,25,5,PerformedOrUnperformed
ACTIVITY,26,1,PerformedOrUnperformed
ACTIVITY,27,2,PerformedOrUnperformed
ACTIVITY,28,0,PerformedOrUnperformed
ACTIVITY,29,1,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,2,PerformedOrUnperformed
ACTIVITY,34,1,PerformedOrUnperformed
ACTIVITY,35,4,PerformedOrUnperformed
ACTIVITY,36,3,PerformedOrUnperformed
ACTIVITY,37,5,PerformedOrUnperformed
ACTIVITY,38,4,PerformedOrUnperformed
ACTIVITY,39,2,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,3,PerformedOrUnperformed
ACTIVITY,42,0,PerformedOrUnperformed
ACTIVITY,43,1,PerformedOrUnperformed
ACTIVITY,44,5,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,10,46.0
SETUP_MATRIX,0,0,2,19,69.4
SETUP_MATRIX,0,0,3,9,43.4
SETUP_MATRIX,0,0,4,8,40.8
SETUP_MATRIX,0,0,5,24,82.4
SETUP_MATRIX,0,1,0,9,43.4
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,20,72.0
SETUP_MATRIX,0,1,3,9,43.4
SETUP_MATRIX,0,1,4,9,43.4
SETUP_MATRIX,0,1,5,25,85.0
SETUP_MATRIX,0,2,0,9,43.4
SETUP_MATRIX,0,2,1,11,48.6
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,10,46.0
SETUP_MATRIX,0,2,4,9,43.4
SETUP_MATRIX,0,2,5,17,64.2
SETUP_MATRIX,0,3,0,14,56.4
SETUP_MATRIX,0,3,1,16,61.6
SETUP_MATRIX,0,3,2,16,61.6
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,8,40.8
SETUP_MATRIX,0,3,5,21,74.6
SETUP_MATRIX,0,4,0,14,56.4
SETUP_MATRIX,0,4,1,16,61.6
SETUP_MATRIX,0,4,2,16,61.6
SETUP_MATRIX,0,4,3,9,43.4
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,21,74.6
SETUP_MATRIX,0,5,0,10,46.0
SETUP_MATRIX,0,5,1,12,51.2
SETUP_MATRIX,0,5,2,12,51.2
SETUP_MATRIX,0,5,3,11,48.6
SETUP_MATRIX,0,5,4,10,46.0
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,6,35.6
SETUP_MATRIX,0,6,1,8,40.8
SETUP_MATRIX,0,6,2,9,43.4
SETUP_MATRIX,0,6,3,7,38.2
SETUP_MATRIX,0,6,4,6,35.6
SETUP_MATRIX,0,6,5,10,46.0

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,2965,End,0,1.0
DUE_DATE,1,826,End,0,7.0
DUE_DATE,2,1285,End,0,3.0
DUE_DATE,3,4987,End,0,1.0
DUE_DATE,4,700,End,0,7.0
DUE_DATE,5,2045,End,0,7.0
DUE_DATE,6,1922,End,0,3.0
DUE_DATE,7,2250,End,0,3.0
DUE_DATE,8,450,End,0,7.0
DUE_DATE,9,1435,End,0,3.0
DUE_DATE,10,2168,End,0,3.0
DUE_DATE,11,1436,End,0,3.0
DUE_DATE,12,342,End,0,7.0
DUE_DATE,13,2218,End,0,3.0
DUE_DATE,14,2293,End,0,3.0
DUE_DATE,15,1837,End,0,7.0
DUE_DATE,16,1873,End,0,7.0
DUE_DATE,17,3064,End,0,1.0
DUE_DATE,18,1174,End,0,7.0
DUE_DATE,19,1481,End,0,3.0
DUE_DATE,20,782,End,0,7.0
DUE_DATE,21,2642,End,0,3.0
DUE_DATE,22,1695,End,0,3.0
DUE_DATE,23,1344,End,0,3.0
DUE_DATE,24,3307,End,0,1.0
DUE_DATE,25,2779,End,0,1.0
DUE_DATE,26,3853,End,0,1.0
DUE_DATE,27,3502,End,0,1.0
DUE_DATE,28,435,End,0,7.0
DUE_DATE,29,1458,End,0,3.0
DUE_DATE,30,3469,End,0,1.0
DUE_DATE,31,2671,End,0,3.0
DUE_DATE,32,726,End,0,7.0
DUE_DATE,33,487,End,0,7.0
DUE_DATE,34,372,End,0,7.0
DUE_DATE,35,770,End,0,7.0
DUE_DATE,36,3684,End,0,1.0
DUE_DATE,37,441,End,0,7.0
DUE_DATE,38,1235,End,0,3.0
DUE_DATE,39,4670,End,0,1.0
DUE_DATE,40,2575,End,0,3.0
DUE_DATE,41,1552,End,0,3.0
DUE_DATE,42,1279,End,0,3.0
DUE_DATE,43,2853,End,0,3.0
DUE_DATE,44,2593,End,0,3.0

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,18.0,15,133,2865,148,2880,664.6,0,0
MODE,1,0,0,1,28.0,28,568,2852,596,1006,961.8,0,0
MODE,2,0,0,1,28.8,24,260,2856,284,1765,582.9,0,0
MODE,3,0,0,1,37.8,27,1891,2853,1918,2880,436.3,0,0
MODE,4,0,0,1,59.4,27,456,2853,483,880,640.7,0,0
MODE,5,0,0,1,9.6,8,1808,2872,1816,2225,556.5,0,0
MODE,6,0,0,1,46.4,29,964,2851,993,2402,511.0,0,0
MODE,7,0,0,1,30.4,19,1302,2861,1321,2730,696.8,0,0
MODE,8,0,0,1,16.8,14,218,2866,232,630,946.6,0,0
MODE,9,0,0,1,30.0,25,455,2855,480,1915,571.1,0,0
MODE,10,0,0,1,18.0,15,1256,2865,1271,2648,303.5,0,0
MODE,11,0,0,1,12.0,10,491,2870,501,1916,670.6,0,0
MODE,12,0,0,1,66.0,30,102,2850,132,522,656.6,0,0
MODE,13,0,0,1,18.2,13,1231,2867,1244,2698,453.4,0,0
MODE,14,0,0,1,59.2,37,1261,2843,1298,2773,687.6,0,0
MODE,15,0,0,1,32.0,20,1589,2860,1609,2017,778.7,0,0
MODE,16,0,0,1,19.2,16,1622,2864,1638,2053,921.3,0,0
MODE,17,0,0,1,15.0,15,184,2865,199,2880,347.4,0,0
MODE,18,0,0,1,60.8,38,945,2842,983,1354,651.4,0,0
MODE,19,0,0,1,21.0,15,563,2865,578,1961,699.5,0,0
MODE,20,0,0,1,27.6,23,538,2857,561,962,877.9,0,0
MODE,21,0,0,1,36.8,23,1620,2857,1643,2880,640.3,0,0
MODE,22,0,0,1,40.0,25,680,2855,705,2175,785.4,0,0
MODE,23,0,0,1,21.6,18,305,2862,323,1824,328.6,0,0
MODE,24,0,0,1,30.0,25,338,2855,363,2880,234.9,0,0
MODE,25,0,0,1,52.8,24,41,2856,65,2880,668.0,0,0
MODE,26,0,0,1,52.8,33,936,2847,969,2880,632.8,0,0
MODE,27,0,0,1,34.2,19,517,2861,536,2880,254.8,0,0
MODE,28,0,0,1,18.0,15,203,2865,218,615,792.4,0,0
MODE,29,0,0,1,33.6,21,500,2859,521,1938,453.6,0,0
MODE,30,0,0,1,28.8,24,601,2856,625,2880,349.9,0,0
MODE,31,0,0,1,26.4,22,1658,2858,1680,2880,494.7,0,0
MODE,32,0,0,1,21.6,18,491,2862,509,906,581.8,0,0
MODE,33,0,0,1,39.6,22,247,2858,269,667,808.0,0,0
MODE,34,0,0,1,25.6,16,130,2864,146,552,727.8,0,0
MODE,35,0,0,1,19.0,19,540,2861,559,950,542.6,0,0
MODE,36,0,0,1,30.8,22,773,2858,795,2880,486.9,0,0
MODE,37,0,0,1,41.8,19,199,2861,218,621,658.4,0,0
MODE,38,0,0,1,15.0,15,293,2865,308,1715,576.0,0,0
MODE,39,0,0,1,59.4,33,1778,2847,1811,2880,501.6,0,0
MODE,40,0,0,1,27.6,23,1608,2857,1631,2880,495.1,0,0
MODE,41,0,0,1,33.6,24,538,2856,562,2032,543.7,0,0
MODE,42,0,0,1,18.0,15,277,2865,292,1759,497.4,0,0
MODE,43,0,0,1,59.2,37,1842,2843,1879,2880,674.1,0,0
MODE,44,0,0,1,57.2,26,1652,2854,1678,2880,825.7,0,0
