ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LAUNDRY_L_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,5,PerformedOrUnperformed
ACTIVITY,4,3,PerformedOrUnperformed
ACTIVITY,5,4,PerformedOrUnperformed
ACTIVITY,6,2,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,3,PerformedOrUnperformed
ACTIVITY,9,4,PerformedOrUnperformed
ACTIVITY,10,4,PerformedOrUnperformed
ACTIVITY,11,3,PerformedOrUnperformed
ACTIVITY,12,3,PerformedOrUnperformed
ACTIVITY,13,4,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,2,PerformedOrUnperformed
ACTIVITY,16,0,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,3,PerformedOrUnperformed
ACTIVITY,19,1,PerformedOrUnperformed
ACTIVITY,20,1,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,4,PerformedOrUnperformed
ACTIVITY,23,3,PerformedOrUnperformed
ACTIVITY,24,4,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,4,PerformedOrUnperformed
ACTIVITY,27,3,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,3,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,1,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,2,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,1,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,1,PerformedOrUnperformed
ACTIVITY,40,3,PerformedOrUnperformed
ACTIVITY,41,2,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,2,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,1,PerformedOrUnperformed
ACTIVITY,46,0,PerformedOrUnperformed
ACTIVITY,47,1,PerformedOrUnperformed
ACTIVITY,48,5,PerformedOrUnperformed
ACTIVITY,49,1,PerformedOrUnperformed
ACTIVITY,50,3,PerformedOrUnperformed
ACTIVITY,51,1,PerformedOrUnperformed
ACTIVITY,52,0,PerformedOrUnperformed
ACTIVITY,53,0,PerformedOrUnperformed
ACTIVITY,54,3,PerformedOrUnperformed
ACTIVITY,55,2,PerformedOrUnperformed
ACTIVITY,56,5,PerformedOrUnperformed
ACTIVITY,57,0,PerformedOrUnperformed
