ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LAUNDRY_M_90,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,4,PerformedOrUnperformed
ACTIVITY,1,5,PerformedOrUnperformed
ACTIVITY,2,3,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,5,PerformedOrUnperformed
ACTIVITY,5,4,PerformedOrUnperformed
ACTIVITY,6,5,PerformedOrUnperformed
ACTIVITY,7,2,PerformedOrUnperformed
ACTIVITY,8,3,PerformedOrUnperformed
ACTIVITY,9,0,PerformedOrUnperformed
ACTIVITY,10,3,PerformedOrUnperformed
ACTIVITY,11,5,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,1,PerformedOrUnperformed
ACTIVITY,14,2,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,1,PerformedOrUnperformed
ACTIVITY,18,1,PerformedOrUnperformed
ACTIVITY,19,3,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,5,PerformedOrUnperformed
ACTIVITY,24,3,PerformedOrUnperformed
ACTIVITY,25,3,PerformedOrUnperformed
ACTIVITY,26,4,PerformedOrUnperformed
ACTIVITY,27,5,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,3,PerformedOrUnperformed
ACTIVITY,30,0,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,1,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,2,PerformedOrUnperformed
ACTIVITY,37,2,PerformedOrUnperformed
ACTIVITY,38,4,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,0,PerformedOrUnperformed
ACTIVITY,41,2,PerformedOrUnperformed
ACTIVITY,42,1,PerformedOrUnperformed
ACTIVITY,43,4,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed
ACTIVITY,45,2,PerformedOrUnperformed
ACTIVITY,46,2,PerformedOrUnperformed
ACTIVITY,47,2,PerformedOrUnperformed
ACTIVITY,48,2,PerformedOrUnperformed
ACTIVITY,49,0,PerformedOrUnperformed
ACTIVITY,50,5,PerformedOrUnperformed
ACTIVITY,51,0,PerformedOrUnperformed
ACTIVITY,52,1,PerformedOrUnperformed
ACTIVITY,53,2,PerformedOrUnperformed
ACTIVITY,54,0,PerformedOrUnperformed
ACTIVITY,55,5,PerformedOrUnperformed
ACTIVITY,56,3,PerformedOrUnperformed
ACTIVITY,57,3,PerformedOrUnperformed
ACTIVITY,58,1,PerformedOrUnperformed
ACTIVITY,59,5,PerformedOrUnperformed
ACTIVITY,60,3,PerformedOrUnperformed
ACTIVITY,61,5,PerformedOrUnperformed
ACTIVITY,62,4,PerformedOrUnperformed
ACTIVITY,63,1,PerformedOrUnperformed
ACTIVITY,64,3,PerformedOrUnperformed
ACTIVITY,65,1,PerformedOrUnperformed
ACTIVITY,66,1,PerformedOrUnperformed
ACTIVITY,67,3,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,2,PerformedOrUnperformed
ACTIVITY,70,3,PerformedOrUnperformed
ACTIVITY,71,5,PerformedOrUnperformed
ACTIVITY,72,5,PerformedOrUnperformed
ACTIVITY,73,0,PerformedOrUnperformed
ACTIVITY,74,4,PerformedOrUnperformed
ACTIVITY,75,4,PerformedOrUnperformed
ACTIVITY,76,1,PerformedOrUnperformed
ACTIVITY,77,5,PerformedOrUnperformed
ACTIVITY,78,0,PerformedOrUnperformed
ACTIVITY,79,0,PerformedOrUnperformed
ACTIVITY,80,1,PerformedOrUnperformed
ACTIVITY,81,0,PerformedOrUnperformed
