ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,LAUNDRY_S_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,4,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,1,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,5,PerformedOrUnperformed
ACTIVITY,9,0,PerformedOrUnperformed
ACTIVITY,10,2,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,0,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,3,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,1,PerformedOrUnperformed
ACTIVITY,18,2,PerformedOrUnperformed
ACTIVITY,19,5,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,5,PerformedOrUnperformed
ACTIVITY,24,2,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,3,PerformedOrUnperformed
ACTIVITY,27,0,PerformedOrUnperformed
ACTIVITY,28,5,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,2,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,1,PerformedOrUnperformed
ACTIVITY,33,1,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,5,PerformedOrUnperformed
ACTIVITY,36,5,PerformedOrUnperformed
ACTIVITY,37,2,PerformedOrUnperformed
ACTIVITY,38,1,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,5,PerformedOrUnperformed
ACTIVITY,41,2,PerformedOrUnperformed
ACTIVITY,42,2,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,4,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,10,33.0
SETUP_MATRIX,0,0,2,12,36.8
SETUP_MATRIX,0,0,3,17,46.3
SETUP_MATRIX,0,0,4,15,42.5
SETUP_MATRIX,0,0,5,10,33.0
SETUP_MATRIX,0,1,0,10,33.0
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,12,36.8
SETUP_MATRIX,0,1,3,17,46.3
SETUP_MATRIX,0,1,4,15,42.5
SETUP_MATRIX,0,1,5,10,33.0
SETUP_MATRIX,0,2,0,20,52.0
SETUP_MATRIX,0,2,1,20,52.0
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,19,50.1
SETUP_MATRIX,0,2,4,25,61.5
SETUP_MATRIX,0,2,5,20,52.0
SETUP_MATRIX,0,3,0,35,80.5
SETUP_MATRIX,0,3,1,35,80.5
SETUP_MATRIX,0,3,2,37,84.3
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,40,90.0
SETUP_MATRIX,0,3,5,35,80.5
SETUP_MATRIX,0,4,0,10,33.0
SETUP_MATRIX,0,4,1,10,33.0
SETUP_MATRIX,0,4,2,12,36.8
SETUP_MATRIX,0,4,3,17,46.3
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,10,33.0
SETUP_MATRIX,0,5,0,11,34.9
SETUP_MATRIX,0,5,1,11,34.9
SETUP_MATRIX,0,5,2,13,38.7
SETUP_MATRIX,0,5,3,17,46.3
SETUP_MATRIX,0,5,4,16,44.4
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,8,29.2
SETUP_MATRIX,0,6,1,8,29.2
SETUP_MATRIX,0,6,2,10,33.0
SETUP_MATRIX,0,6,3,16,44.4
SETUP_MATRIX,0,6,4,9,31.1
SETUP_MATRIX,0,6,5,8,29.2

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,683,End,0,5.0
DUE_DATE,1,1277,End,0,3.0
DUE_DATE,2,1912,End,0,3.0
DUE_DATE,3,4742,End,0,1.0
DUE_DATE,4,1261,End,0,3.0
DUE_DATE,5,1740,End,0,5.0
DUE_DATE,6,1820,End,0,5.0
DUE_DATE,7,5181,End,0,1.0
DUE_DATE,8,1425,End,0,5.0
DUE_DATE,9,4714,End,0,1.0
DUE_DATE,10,2079,End,0,5.0
DUE_DATE,11,5055,End,0,1.0
DUE_DATE,12,2116,End,0,5.0
DUE_DATE,13,1174,End,0,3.0
DUE_DATE,14,2445,End,0,3.0
DUE_DATE,15,800,End,0,5.0
DUE_DATE,16,6134,End,0,1.0
DUE_DATE,17,1223,End,0,3.0
DUE_DATE,18,1555,End,0,3.0
DUE_DATE,19,1032,End,0,5.0
DUE_DATE,20,1522,End,0,3.0
DUE_DATE,21,2732,End,0,3.0
DUE_DATE,22,1589,End,0,3.0
DUE_DATE,23,1196,End,0,3.0
DUE_DATE,24,2864,End,0,3.0
DUE_DATE,25,1245,End,0,3.0
DUE_DATE,26,2331,End,0,5.0
DUE_DATE,27,4368,End,0,1.0
DUE_DATE,28,921,End,0,5.0
DUE_DATE,29,1274,End,0,3.0
DUE_DATE,30,1922,End,0,3.0
DUE_DATE,31,2384,End,0,5.0
DUE_DATE,32,4407,End,0,1.0
DUE_DATE,33,2201,End,0,3.0
DUE_DATE,34,1012,End,0,5.0
DUE_DATE,35,2290,End,0,3.0
DUE_DATE,36,5151,End,0,1.0
DUE_DATE,37,1270,End,0,3.0
DUE_DATE,38,2609,End,0,3.0
DUE_DATE,39,2198,End,0,3.0
DUE_DATE,40,2061,End,0,5.0
DUE_DATE,41,1562,End,0,3.0
DUE_DATE,42,2676,End,0,3.0
DUE_DATE,43,1798,End,0,5.0
DUE_DATE,44,4781,End,0,1.0

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,39.6,33,179,2847,212,923,606.2,0,0
MODE,1,0,0,1,29.0,29,257,2851,286,1757,352.2,0,0
MODE,2,0,0,1,34.0,34,930,2846,964,2392,518.7,0,0
MODE,3,0,0,1,60.0,40,339,2840,379,2880,363.8,0,0
MODE,4,0,0,1,47.0,47,231,2833,278,1741,520.8,0,0
MODE,5,0,0,1,33.0,33,1272,2847,1305,1980,399.6,0,0
MODE,6,0,0,1,36.0,36,1340,2844,1376,2060,476.6,0,0
MODE,7,0,0,1,32.0,32,601,2848,633,2880,418.3,0,0
MODE,8,0,0,1,39.6,33,925,2847,958,1665,497.2,0,0
MODE,9,0,0,1,44.0,44,206,2836,250,2880,530.2,0,0
MODE,10,0,0,1,55.9,43,1617,2837,1660,2319,351.3,0,0
MODE,11,0,0,1,32.0,32,597,2848,629,2880,422.1,0,0
MODE,12,0,0,1,41.0,41,1639,2839,1680,2356,526.0,0,0
MODE,13,0,0,1,27.0,27,231,2853,258,1654,498.8,0,0
MODE,14,0,0,1,37.0,37,1519,2843,1556,2880,474.2,0,0
MODE,15,0,0,1,126.0,70,339,2810,409,1040,437.3,0,0
MODE,16,0,0,1,99.0,55,1689,2825,1744,2880,561.8,0,0
MODE,17,0,0,1,50.0,50,215,2830,265,1703,520.9,0,0
MODE,18,0,0,1,65.0,50,541,2830,591,2035,379.9,0,0
MODE,19,0,0,1,64.8,54,520,2826,574,1272,515.5,0,0
MODE,20,0,0,1,36.0,36,517,2844,553,2002,388.8,0,0
MODE,21,0,0,1,45.5,35,1796,2845,1831,2880,533.6,0,0
MODE,22,0,0,1,49.4,38,569,2842,607,2069,365.3,0,0
MODE,23,0,0,1,64.8,54,165,2826,219,1676,459.9,0,0
MODE,24,0,0,1,57.2,44,1826,2836,1870,2880,278.0,0,0
MODE,25,0,0,1,29.0,29,239,2851,268,1725,481.2,0,0
MODE,26,0,0,1,129.6,72,1873,2808,1945,2571,407.9,0,0
MODE,27,0,0,1,38.0,38,66,2842,104,2880,325.2,0,0
MODE,28,0,0,1,56.4,47,453,2833,500,1161,611.7,0,0
MODE,29,0,0,1,47.0,47,252,2833,299,1754,380.9,0,0
MODE,30,0,0,1,45.5,35,973,2845,1008,2402,596.0,0,0
MODE,31,0,0,1,40.0,40,1882,2840,1922,2624,652.3,0,0
MODE,32,0,0,1,37.0,37,264,2843,301,2880,368.6,0,0
MODE,33,0,0,1,26.0,26,1192,2854,1218,2681,530.9,0,0
MODE,34,0,0,1,52.8,44,528,2836,572,1252,376.2,0,0
MODE,35,0,0,1,34.8,29,1304,2851,1333,2770,304.7,0,0
MODE,36,0,0,1,48.0,40,944,2840,984,2880,480.8,0,0
MODE,37,0,0,1,53.3,41,295,2839,336,1750,493.3,0,0
MODE,38,0,0,1,40.0,40,1656,2840,1696,2880,431.8,0,0
MODE,39,0,0,1,39.0,26,1203,2854,1229,2678,464.6,0,0
MODE,40,0,0,1,51.6,43,1566,2837,1609,2301,566.0,0,0
MODE,41,0,0,1,72.8,56,567,2824,623,2042,531.3,0,0
MODE,42,0,0,1,65.0,50,1736,2830,1786,2880,489.9,0,0
MODE,43,0,0,1,36.0,36,1293,2844,1329,2038,596.0,0,0
MODE,44,0,0,1,36.0,24,291,2856,315,2880,545.3,0,0
