ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,STUDIO_S_45,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,6,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,3,PerformedOrUnperformed
ACTIVITY,1,0,PerformedOrUnperformed
ACTIVITY,2,1,PerformedOrUnperformed
ACTIVITY,3,0,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,1,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,3,PerformedOrUnperformed
ACTIVITY,9,5,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,2,PerformedOrUnperformed
ACTIVITY,13,1,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,0,PerformedOrUnperformed
ACTIVITY,17,1,PerformedOrUnperformed
ACTIVITY,18,4,PerformedOrUnperformed
ACTIVITY,19,2,PerformedOrUnperformed
ACTIVITY,20,2,PerformedOrUnperformed
ACTIVITY,21,2,PerformedOrUnperformed
ACTIVITY,22,5,PerformedOrUnperformed
ACTIVITY,23,1,PerformedOrUnperformed
ACTIVITY,24,2,PerformedOrUnperformed
ACTIVITY,25,3,PerformedOrUnperformed
ACTIVITY,26,4,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,0,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,4,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,4,PerformedOrUnperformed
ACTIVITY,33,1,PerformedOrUnperformed
ACTIVITY,34,2,PerformedOrUnperformed
ACTIVITY,35,4,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,1,PerformedOrUnperformed
ACTIVITY,38,3,PerformedOrUnperformed
ACTIVITY,39,3,PerformedOrUnperformed
ACTIVITY,40,1,PerformedOrUnperformed
ACTIVITY,41,4,PerformedOrUnperformed
ACTIVITY,42,0,PerformedOrUnperformed
ACTIVITY,43,4,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,41,118.8
SETUP_MATRIX,0,0,2,28,87.2
SETUP_MATRIX,0,0,3,24,77.6
SETUP_MATRIX,0,0,4,25,80.0
SETUP_MATRIX,0,0,5,31,96.8
SETUP_MATRIX,0,1,0,37,109.2
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,22,70.4
SETUP_MATRIX,0,1,3,18,60.8
SETUP_MATRIX,0,1,4,20,65.0
SETUP_MATRIX,0,1,5,25,80.0
SETUP_MATRIX,0,2,0,47,135.6
SETUP_MATRIX,0,2,1,31,96.8
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,28,87.2
SETUP_MATRIX,0,2,4,30,92.0
SETUP_MATRIX,0,2,5,36,106.4
SETUP_MATRIX,0,3,0,33,101.6
SETUP_MATRIX,0,3,1,17,55.4
SETUP_MATRIX,0,3,2,13,45.8
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,15,50.0
SETUP_MATRIX,0,3,5,20,65.0
SETUP_MATRIX,0,4,0,42,124.0
SETUP_MATRIX,0,4,1,26,82.4
SETUP_MATRIX,0,4,2,21,67.4
SETUP_MATRIX,0,4,3,17,55.4
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,26,82.4
SETUP_MATRIX,0,5,0,47,135.6
SETUP_MATRIX,0,5,1,31,96.8
SETUP_MATRIX,0,5,2,26,82.4
SETUP_MATRIX,0,5,3,22,70.4
SETUP_MATRIX,0,5,4,24,77.6
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,6,0,42,124.0
SETUP_MATRIX,0,6,1,26,82.4
SETUP_MATRIX,0,6,2,20,65.0
SETUP_MATRIX,0,6,3,16,53.6
SETUP_MATRIX,0,6,4,18,60.8
SETUP_MATRIX,0,6,5,24,77.6

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,2490,End,0,2.5
DUE_DATE,1,484,End,0,8.0
DUE_DATE,2,624,End,0,8.0
DUE_DATE,3,2726,End,0,2.5
DUE_DATE,4,639,End,0,8.0
DUE_DATE,5,2506,End,0,2.5
DUE_DATE,6,777,End,0,8.0
DUE_DATE,7,2252,End,0,2.5
DUE_DATE,8,1492,End,0,2.5
DUE_DATE,9,2282,End,0,2.5
DUE_DATE,10,709,End,0,8.0
DUE_DATE,11,2086,End,0,2.5
DUE_DATE,12,1037,End,0,8.0
DUE_DATE,13,702,End,0,8.0
DUE_DATE,14,660,End,0,8.0
DUE_DATE,15,1936,End,0,2.5
DUE_DATE,16,580,End,0,8.0
DUE_DATE,17,789,End,0,8.0
DUE_DATE,18,3932,End,0,2.5
DUE_DATE,19,2179,End,0,2.5
DUE_DATE,20,2181,End,0,2.5
DUE_DATE,21,1203,End,0,2.5
DUE_DATE,22,1567,End,0,2.5
DUE_DATE,23,2256,End,0,2.5
DUE_DATE,24,845,End,0,8.0
DUE_DATE,25,1154,End,0,2.5
DUE_DATE,26,1252,End,0,2.5
DUE_DATE,27,709,End,0,8.0
DUE_DATE,28,1885,End,0,2.5
DUE_DATE,29,2207,End,0,2.5
DUE_DATE,30,1665,End,0,2.5
DUE_DATE,31,917,End,0,8.0
DUE_DATE,32,1717,End,0,2.5
DUE_DATE,33,1883,End,0,2.5
DUE_DATE,34,986,End,0,2.5
DUE_DATE,35,2160,End,0,2.5
DUE_DATE,36,983,End,0,8.0
DUE_DATE,37,2081,End,0,2.5
DUE_DATE,38,879,End,0,2.5
DUE_DATE,39,1097,End,0,2.5
DUE_DATE,40,2518,End,0,2.5
DUE_DATE,41,3129,End,0,2.5
DUE_DATE,42,514,End,0,8.0
DUE_DATE,43,1041,End,0,2.5
DUE_DATE,44,1212,End,0,8.0

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,280.8,78,1599,2802,1677,2052,1617.2,0,0
MODE,1,0,0,1,122.0,61,60,2859,120,734,900.8,0,0
MODE,2,0,0,1,64.0,32,356,2868,400,576,1510.9,0,0
MODE,3,0,0,1,206.0,103,1190,2827,1293,2880,1136.7,0,0
MODE,4,0,0,1,128.8,56,84,2852,140,374,1646.6,0,0
MODE,5,0,0,1,162.8,74,1899,2846,1973,2452,1673.2,0,0
MODE,6,0,0,1,168.3,51,117,2859,168,337,1634.0,0,0
MODE,7,0,0,1,116.0,58,684,2862,742,2702,1350.0,0,0
MODE,8,0,0,1,198.0,99,1191,2831,1290,1620,1502.3,0,0
MODE,9,0,0,1,306.0,102,1797,2818,1899,2880,1747.8,0,0
MODE,10,0,0,1,122.4,68,371,2852,439,661,1626.9,0,0
MODE,11,0,0,1,186.3,69,1908,2821,1977,2880,1124.2,0,0
MODE,12,0,0,1,105.0,35,510,2865,545,1302,1129.7,0,0
MODE,13,0,0,1,64.0,32,404,2868,436,882,1312.0,0,0
MODE,14,0,0,1,120.0,60,376,2860,436,840,1334.0,0,0
MODE,15,0,0,1,183.6,51,1572,2829,1633,2880,1536.8,0,0
MODE,16,0,0,1,108.0,36,300,2864,336,516,1524.7,0,0
MODE,17,0,0,1,90.0,45,520,2865,565,742,1281.6,0,0
MODE,18,0,0,1,87.2,109,1188,2806,1297,1368,1792.6,0,0
MODE,19,0,0,1,116.6,53,1991,2857,2044,2880,1323.2,0,0
MODE,20,0,0,1,142.0,71,2000,2849,2071,2880,1097.8,0,0
MODE,21,0,0,1,98.0,49,761,2871,810,1683,1358.1,0,0
MODE,22,0,0,1,352.0,88,514,2832,602,1072,1777.5,0,0
MODE,23,0,0,1,142.8,84,1322,2826,1393,2880,1545.4,0,0
MODE,24,0,0,1,63.0,35,541,2865,576,1085,1397.8,0,0
MODE,25,0,0,1,210.6,81,767,2828,828,2880,1498.9,0,0
MODE,26,0,0,1,378.0,105,385,2795,490,732,1818.2,0,0
MODE,27,0,0,1,80.0,40,526,2870,576,959,1251.0,0,0
MODE,28,0,0,1,90.0,30,1368,2870,1408,2880,1543.1,0,0
MODE,29,0,0,1,244.8,68,1651,2832,1719,2880,1577.9,0,0
MODE,30,0,0,1,80.8,101,1189,2809,1290,1485,1763.8,0,0
MODE,31,0,0,1,145.0,75,1127,2840,1190,2880,1157.9,0,0
MODE,32,0,0,1,132.0,60,683,2850,743,2880,1199.1,0,0
MODE,33,0,0,1,124.0,62,1563,2858,1620,2880,1237.5,0,0
MODE,34,0,0,1,66.0,30,555,2874,585,811,1135.7,0,0
MODE,35,0,0,1,146.0,73,1667,2847,1720,2880,1178.5,0,0
MODE,36,0,0,1,144.0,72,750,2858,808,2880,838.9,0,0
MODE,37,0,0,1,110.4,46,1756,2862,1802,2880,1324.9,0,0
MODE,38,0,0,1,252.0,84,496,2816,580,1597,1148.5,0,0
MODE,39,0,0,1,193.6,44,497,2836,541,2880,1231.5,0,0
MODE,40,0,0,1,116.0,58,1981,2862,2039,2880,1212.4,0,0
MODE,41,0,0,1,87.2,109,1134,2806,1235,2880,1150.4,0,0
MODE,42,0,0,1,144.0,72,294,2858,352,674,1679.0,0,0
MODE,43,0,0,1,210.6,81,751,2828,812,1262,1740.2,0,0
MODE,44,0,0,1,180.0,60,862,2840,922,2880,1009.8,0,0
