ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,SURGERY_BLOCK_180,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,7,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,0,PerformedOrUnperformed
ACTIVITY,1,1,PerformedOrUnperformed
ACTIVITY,2,0,PerformedOrUnperformed
ACTIVITY,3,6,PerformedOrUnperformed
ACTIVITY,4,0,PerformedOrUnperformed
ACTIVITY,5,5,PerformedOrUnperformed
ACTIVITY,6,6,PerformedOrUnperformed
ACTIVITY,7,3,PerformedOrUnperformed
ACTIVITY,8,5,PerformedOrUnperformed
ACTIVITY,9,3,PerformedOrUnperformed
ACTIVITY,10,0,PerformedOrUnperformed
ACTIVITY,11,5,PerformedOrUnperformed
ACTIVITY,12,1,PerformedOrUnperformed
ACTIVITY,13,3,PerformedOrUnperformed
ACTIVITY,14,3,PerformedOrUnperformed
ACTIVITY,15,5,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,5,PerformedOrUnperformed
ACTIVITY,18,1,PerformedOrUnperformed
ACTIVITY,19,1,PerformedOrUnperformed
ACTIVITY,20,0,PerformedOrUnperformed
ACTIVITY,21,6,PerformedOrUnperformed
ACTIVITY,22,6,PerformedOrUnperformed
ACTIVITY,23,6,PerformedOrUnperformed
ACTIVITY,24,0,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,0,PerformedOrUnperformed
ACTIVITY,27,1,PerformedOrUnperformed
ACTIVITY,28,0,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,3,PerformedOrUnperformed
ACTIVITY,33,5,PerformedOrUnperformed
ACTIVITY,34,6,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,2,PerformedOrUnperformed
ACTIVITY,38,4,PerformedOrUnperformed
ACTIVITY,39,1,PerformedOrUnperformed
ACTIVITY,40,6,PerformedOrUnperformed
ACTIVITY,41,4,PerformedOrUnperformed
ACTIVITY,42,0,PerformedOrUnperformed
ACTIVITY,43,6,PerformedOrUnperformed
ACTIVITY,44,0,PerformedOrUnperformed
ACTIVITY,45,6,PerformedOrUnperformed
ACTIVITY,46,1,PerformedOrUnperformed
ACTIVITY,47,6,PerformedOrUnperformed
ACTIVITY,48,0,PerformedOrUnperformed
ACTIVITY,49,6,PerformedOrUnperformed
ACTIVITY,50,5,PerformedOrUnperformed
ACTIVITY,51,6,PerformedOrUnperformed
ACTIVITY,52,6,PerformedOrUnperformed
ACTIVITY,53,4,PerformedOrUnperformed
ACTIVITY,54,6,PerformedOrUnperformed
ACTIVITY,55,1,PerformedOrUnperformed
ACTIVITY,56,0,PerformedOrUnperformed
ACTIVITY,57,4,PerformedOrUnperformed
ACTIVITY,58,3,PerformedOrUnperformed
ACTIVITY,59,0,PerformedOrUnperformed
ACTIVITY,60,1,PerformedOrUnperformed
ACTIVITY,61,6,PerformedOrUnperformed
ACTIVITY,62,2,PerformedOrUnperformed
ACTIVITY,63,0,PerformedOrUnperformed
ACTIVITY,64,0,PerformedOrUnperformed
ACTIVITY,65,2,PerformedOrUnperformed
ACTIVITY,66,6,PerformedOrUnperformed
ACTIVITY,67,1,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,0,PerformedOrUnperformed
ACTIVITY,70,1,PerformedOrUnperformed
ACTIVITY,71,4,PerformedOrUnperformed
ACTIVITY,72,1,PerformedOrUnperformed
ACTIVITY,73,4,PerformedOrUnperformed
ACTIVITY,74,6,PerformedOrUnperformed
ACTIVITY,75,1,PerformedOrUnperformed
ACTIVITY,76,6,PerformedOrUnperformed
ACTIVITY,77,0,PerformedOrUnperformed
ACTIVITY,78,2,PerformedOrUnperformed
ACTIVITY,79,6,PerformedOrUnperformed
ACTIVITY,80,5,PerformedOrUnperformed
ACTIVITY,81,3,PerformedOrUnperformed
ACTIVITY,82,2,PerformedOrUnperformed
ACTIVITY,83,0,PerformedOrUnperformed
ACTIVITY,84,0,PerformedOrUnperformed
ACTIVITY,85,5,PerformedOrUnperformed
ACTIVITY,86,2,PerformedOrUnperformed
ACTIVITY,87,4,PerformedOrUnperformed
ACTIVITY,88,0,PerformedOrUnperformed
ACTIVITY,89,6,PerformedOrUnperformed
ACTIVITY,90,2,PerformedOrUnperformed
ACTIVITY,91,0,PerformedOrUnperformed
ACTIVITY,92,5,PerformedOrUnperformed
ACTIVITY,93,1,PerformedOrUnperformed
ACTIVITY,94,3,PerformedOrUnperformed
ACTIVITY,95,0,PerformedOrUnperformed
ACTIVITY,96,5,PerformedOrUnperformed
ACTIVITY,97,6,PerformedOrUnperformed
ACTIVITY,98,0,PerformedOrUnperformed
ACTIVITY,99,4,PerformedOrUnperformed
ACTIVITY,100,0,PerformedOrUnperformed
ACTIVITY,101,0,PerformedOrUnperformed
ACTIVITY,102,1,PerformedOrUnperformed
ACTIVITY,103,2,PerformedOrUnperformed
ACTIVITY,104,5,PerformedOrUnperformed
ACTIVITY,105,3,PerformedOrUnperformed
ACTIVITY,106,1,PerformedOrUnperformed
ACTIVITY,107,0,PerformedOrUnperformed
ACTIVITY,108,1,PerformedOrUnperformed
ACTIVITY,109,1,PerformedOrUnperformed
ACTIVITY,110,4,PerformedOrUnperformed
ACTIVITY,111,5,PerformedOrUnperformed
ACTIVITY,112,1,PerformedOrUnperformed
ACTIVITY,113,3,PerformedOrUnperformed
ACTIVITY,114,6,PerformedOrUnperformed
ACTIVITY,115,5,PerformedOrUnperformed
ACTIVITY,116,5,PerformedOrUnperformed
ACTIVITY,117,0,PerformedOrUnperformed
ACTIVITY,118,3,PerformedOrUnperformed
ACTIVITY,119,6,PerformedOrUnperformed
ACTIVITY,120,0,PerformedOrUnperformed
ACTIVITY,121,5,PerformedOrUnperformed
ACTIVITY,122,1,PerformedOrUnperformed
ACTIVITY,123,6,PerformedOrUnperformed
ACTIVITY,124,0,PerformedOrUnperformed
ACTIVITY,125,6,PerformedOrUnperformed
ACTIVITY,126,2,PerformedOrUnperformed
ACTIVITY,127,0,PerformedOrUnperformed
ACTIVITY,128,0,PerformedOrUnperformed
ACTIVITY,129,0,PerformedOrUnperformed
ACTIVITY,130,0,PerformedOrUnperformed
ACTIVITY,131,0,PerformedOrUnperformed
ACTIVITY,132,6,PerformedOrUnperformed
