ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,SURGERY_BLOCK_40,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,7,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,5,PerformedOrUnperformed
ACTIVITY,1,1,PerformedOrUnperformed
ACTIVITY,2,4,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,6,PerformedOrUnperformed
ACTIVITY,5,6,PerformedOrUnperformed
ACTIVITY,6,1,PerformedOrUnperformed
ACTIVITY,7,2,PerformedOrUnperformed
ACTIVITY,8,3,PerformedOrUnperformed
ACTIVITY,9,6,PerformedOrUnperformed
ACTIVITY,10,6,PerformedOrUnperformed
ACTIVITY,11,0,PerformedOrUnperformed
ACTIVITY,12,5,PerformedOrUnperformed
ACTIVITY,13,0,PerformedOrUnperformed
ACTIVITY,14,0,PerformedOrUnperformed
ACTIVITY,15,5,PerformedOrUnperformed
ACTIVITY,16,3,PerformedOrUnperformed
ACTIVITY,17,1,PerformedOrUnperformed
ACTIVITY,18,5,PerformedOrUnperformed
ACTIVITY,19,5,PerformedOrUnperformed
ACTIVITY,20,4,PerformedOrUnperformed
ACTIVITY,21,1,PerformedOrUnperformed
ACTIVITY,22,6,PerformedOrUnperformed
ACTIVITY,23,5,PerformedOrUnperformed
ACTIVITY,24,1,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,5,PerformedOrUnperformed
ACTIVITY,27,0,PerformedOrUnperformed
ACTIVITY,28,1,PerformedOrUnperformed
ACTIVITY,29,5,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,1,PerformedOrUnperformed
ACTIVITY,32,5,PerformedOrUnperformed
ACTIVITY,33,6,PerformedOrUnperformed
ACTIVITY,34,5,PerformedOrUnperformed
ACTIVITY,35,3,PerformedOrUnperformed
ACTIVITY,36,1,PerformedOrUnperformed
ACTIVITY,37,5,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,3,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,47,204.2
SETUP_MATRIX,0,0,2,59,247.4
SETUP_MATRIX,0,0,3,44,193.4
SETUP_MATRIX,0,0,4,62,258.2
SETUP_MATRIX,0,0,5,31,146.6
SETUP_MATRIX,0,0,6,28,135.8
SETUP_MATRIX,0,1,0,38,171.8
SETUP_MATRIX,0,1,1,0,0.0
SETUP_MATRIX,0,1,2,65,269.0
SETUP_MATRIX,0,1,3,50,215.0
SETUP_MATRIX,0,1,4,68,279.8
SETUP_MATRIX,0,1,5,43,189.8
SETUP_MATRIX,0,1,6,40,179.0
SETUP_MATRIX,0,2,0,44,193.4
SETUP_MATRIX,0,2,1,59,247.4
SETUP_MATRIX,0,2,2,0,0.0
SETUP_MATRIX,0,2,3,56,236.6
SETUP_MATRIX,0,2,4,74,301.4
SETUP_MATRIX,0,2,5,49,211.4
SETUP_MATRIX,0,2,6,46,200.6
SETUP_MATRIX,0,3,0,36,164.6
SETUP_MATRIX,0,3,1,57,240.2
SETUP_MATRIX,0,3,2,68,279.8
SETUP_MATRIX,0,3,3,0,0.0
SETUP_MATRIX,0,3,4,72,294.2
SETUP_MATRIX,0,3,5,41,182.6
SETUP_MATRIX,0,3,6,37,168.2
SETUP_MATRIX,0,4,0,43,189.8
SETUP_MATRIX,0,4,1,58,243.8
SETUP_MATRIX,0,4,2,70,287.0
SETUP_MATRIX,0,4,3,55,233.0
SETUP_MATRIX,0,4,4,0,0.0
SETUP_MATRIX,0,4,5,48,207.8
SETUP_MATRIX,0,4,6,45,197.0
SETUP_MATRIX,0,5,0,27,132.2
SETUP_MATRIX,0,5,1,48,207.8
SETUP_MATRIX,0,5,2,60,251.0
SETUP_MATRIX,0,5,3,45,197.0
SETUP_MATRIX,0,5,4,63,261.8
SETUP_MATRIX,0,5,5,0,0.0
SETUP_MATRIX,0,5,6,29,139.4
SETUP_MATRIX,0,6,0,25,125.0
SETUP_MATRIX,0,6,1,46,200.6
SETUP_MATRIX,0,6,2,57,240.2
SETUP_MATRIX,0,6,3,43,189.8
SETUP_MATRIX,0,6,4,61,254.6
SETUP_MATRIX,0,6,5,30,143.0
SETUP_MATRIX,0,6,6,0,0.0
SETUP_MATRIX,0,7,0,18,99.8
SETUP_MATRIX,0,7,1,34,157.4
SETUP_MATRIX,0,7,2,48,207.8
SETUP_MATRIX,0,7,3,40,179.0
SETUP_MATRIX,0,7,4,52,222.2
SETUP_MATRIX,0,7,5,24,121.4
SETUP_MATRIX,0,7,6,20,107.0

DUE_DATE|NAMES,ACTIVITY_ID,DUE_TIME,TYPE,EARLINESS_VARIABLE_COST,TARDINESS_VARIABLE_COST
DUE_DATE|TYPES,int,int,string,float,float
DUE_DATE,0,1945,End,0,1.1
DUE_DATE,1,1927,End,0,1.1
DUE_DATE,2,1767,End,0,1.1
DUE_DATE,3,1814,End,0,1.1
DUE_DATE,4,956,End,0,2.8
DUE_DATE,5,978,End,0,2.8
DUE_DATE,6,1930,End,0,1.1
DUE_DATE,7,1025,End,0,2.8
DUE_DATE,8,2554,End,0,1.1
DUE_DATE,9,1168,End,0,7.0
DUE_DATE,10,2622,End,0,1.1
DUE_DATE,11,2539,End,0,1.1
DUE_DATE,12,2556,End,0,1.1
DUE_DATE,13,1789,End,0,2.8
DUE_DATE,14,1744,End,0,2.8
DUE_DATE,15,1696,End,0,2.8
DUE_DATE,16,4072,End,0,1.1
DUE_DATE,17,3268,End,0,1.1
DUE_DATE,18,3314,End,0,1.1
DUE_DATE,19,3260,End,0,2.8
DUE_DATE,20,2384,End,0,2.8
DUE_DATE,21,2542,End,0,2.8
DUE_DATE,22,1825,End,0,7.0
DUE_DATE,23,2522,End,0,2.8
DUE_DATE,24,3278,End,0,2.8
DUE_DATE,25,4018,End,0,1.1
DUE_DATE,26,4167,End,0,1.1
DUE_DATE,27,2579,End,0,2.8
DUE_DATE,28,2670,End,0,7.0
DUE_DATE,29,3975,End,0,1.1
DUE_DATE,30,4140,End,0,1.1
DUE_DATE,31,3993,End,0,2.8
DUE_DATE,32,3314,End,0,7.0
DUE_DATE,33,4688,End,0,1.1
DUE_DATE,34,4745,End,0,1.1
DUE_DATE,35,3308,End,0,7.0
DUE_DATE,36,3947,End,0,2.8
DUE_DATE,37,3841,End,0,2.8
DUE_DATE,38,3998,End,0,2.8
DUE_DATE,39,3920,End,0,2.8

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAPACITY,MODE_COST,PROCESSING_TIME,START_MIN,START_MAX,END_MIN,END_MAX,UNPERFORMED_COST,UNPERFORMED_SETUP_TIME,UNPERFORMED_SETUP_COST
MODE|TYPES,int,int,int,int,float,int,int,int,int,int,float,int,int
MODE,0,0,0,1,236.9,103,117,3497,220,3600,2615.9,0,0
MODE,1,0,0,1,380.8,136,45,3464,181,3600,2115.7,0,0
MODE,2,0,0,1,738.0,164,14,3436,178,3600,2421.9,0,0
