ILOG_CSV_FORMAT,1.0

ILOG_DATA_SCHEMA,MASC,1.0

MODEL|NAMES,NAME,START_MIN
MODEL|TYPES,string,int
MODEL,GPU_HEAVY_120,0

RESOURCE|NAMES,RESOURCE_ID,SETUP_MATRIX_ID,INITIAL_SETUP_STATE,CAPACITY,START_MIN
RESOURCE|TYPES,int,int,int,int,int
RESOURCE,0,0,5,1,0

ACTIVITY|NAMES,ACTIVITY_ID,SETUP_STATE,PERFORMED_STATUS
ACTIVITY|TYPES,int,int,string
ACTIVITY,0,2,PerformedOrUnperformed
ACTIVITY,1,4,PerformedOrUnperformed
ACTIVITY,2,4,PerformedOrUnperformed
ACTIVITY,3,1,PerformedOrUnperformed
ACTIVITY,4,3,PerformedOrUnperformed
ACTIVITY,5,2,PerformedOrUnperformed
ACTIVITY,6,0,PerformedOrUnperformed
ACTIVITY,7,0,PerformedOrUnperformed
ACTIVITY,8,1,PerformedOrUnperformed
ACTIVITY,9,3,PerformedOrUnperformed
ACTIVITY,10,1,PerformedOrUnperformed
ACTIVITY,11,2,PerformedOrUnperformed
ACTIVITY,12,3,PerformedOrUnperformed
ACTIVITY,13,3,PerformedOrUnperformed
ACTIVITY,14,1,PerformedOrUnperformed
ACTIVITY,15,1,PerformedOrUnperformed
ACTIVITY,16,2,PerformedOrUnperformed
ACTIVITY,17,4,PerformedOrUnperformed
ACTIVITY,18,3,PerformedOrUnperformed
ACTIVITY,19,2,PerformedOrUnperformed
ACTIVITY,20,3,PerformedOrUnperformed
ACTIVITY,21,3,PerformedOrUnperformed
ACTIVITY,22,2,PerformedOrUnperformed
ACTIVITY,23,2,PerformedOrUnperformed
ACTIVITY,24,4,PerformedOrUnperformed
ACTIVITY,25,0,PerformedOrUnperformed
ACTIVITY,26,0,PerformedOrUnperformed
ACTIVITY,27,0,PerformedOrUnperformed
ACTIVITY,28,4,PerformedOrUnperformed
ACTIVITY,29,0,PerformedOrUnperformed
ACTIVITY,30,1,PerformedOrUnperformed
ACTIVITY,31,0,PerformedOrUnperformed
ACTIVITY,32,0,PerformedOrUnperformed
ACTIVITY,33,0,PerformedOrUnperformed
ACTIVITY,34,0,PerformedOrUnperformed
ACTIVITY,35,1,PerformedOrUnperformed
ACTIVITY,36,0,PerformedOrUnperformed
ACTIVITY,37,2,PerformedOrUnperformed
ACTIVITY,38,0,PerformedOrUnperformed
ACTIVITY,39,4,PerformedOrUnperformed
ACTIVITY,40,4,PerformedOrUnperformed
ACTIVITY,41,4,PerformedOrUnperformed
ACTIVITY,42,3,PerformedOrUnperformed
ACTIVITY,43,0,PerformedOrUnperformed
ACTIVITY,44,1,PerformedOrUnperformed
ACTIVITY,45,0,PerformedOrUnperformed
ACTIVITY,46,0,PerformedOrUnperformed
ACTIVITY,47,1,PerformedOrUnperformed
ACTIVITY,48,1,PerformedOrUnperformed
ACTIVITY,49,1,PerformedOrUnperformed
ACTIVITY,50,4,PerformedOrUnperformed
ACTIVITY,51,3,PerformedOrUnperformed
ACTIVITY,52,2,PerformedOrUnperformed
ACTIVITY,53,0,PerformedOrUnperformed
ACTIVITY,54,2,PerformedOrUnperformed
ACTIVITY,55,1,PerformedOrUnperformed
ACTIVITY,56,0,PerformedOrUnperformed
ACTIVITY,57,4,PerformedOrUnperformed
ACTIVITY,58,0,PerformedOrUnperformed
ACTIVITY,59,2,PerformedOrUnperformed
ACTIVITY,60,1,PerformedOrUnperformed
ACTIVITY,61,0,PerformedOrUnperformed
ACTIVITY,62,1,PerformedOrUnperformed
ACTIVITY,63,1,PerformedOrUnperformed
ACTIVITY,64,2,PerformedOrUnperformed
ACTIVITY,65,0,PerformedOrUnperformed
ACTIVITY,66,0,PerformedOrUnperformed
ACTIVITY,67,4,PerformedOrUnperformed
ACTIVITY,68,0,PerformedOrUnperformed
ACTIVITY,69,4,PerformedOrUnperformed
ACTIVITY,70,2,PerformedOrUnperformed
ACTIVITY,71,2,PerformedOrUnperformed
ACTIVITY,72,1,PerformedOrUnperformed
ACTIVITY,73,2,PerformedOrUnperformed
ACTIVITY,74,1,PerformedOrUnperformed
ACTIVITY,75,0,PerformedOrUnperformed
ACTIVITY,76,3,PerformedOrUnperformed
ACTIVITY,77,1,PerformedOrUnperformed
ACTIVITY,78,0,PerformedOrUnperformed
ACTIVITY,79,0,PerformedOrUnperformed
ACTIVITY,80,2,PerformedOrUnperformed
ACTIVITY,81,1,PerformedOrUnperformed
ACTIVITY,82,0,PerformedOrUnperformed
ACTIVITY,83,4,PerformedOrUnperformed
ACTIVITY,84,1,PerformedOrUnperformed
ACTIVITY,85,1,PerformedOrUnperformed
ACTIVITY,86,2,PerformedOrUnperformed
ACTIVITY,87,4,PerformedOrUnperformed
ACTIVITY,88,2,PerformedOrUnperformed
ACTIVITY,89,0,PerformedOrUnperformed
ACTIVITY,90,4,PerformedOrUnperformed
ACTIVITY,91,0,PerformedOrUnperformed
ACTIVITY,92,3,PerformedOrUnperformed
ACTIVITY,93,4,PerformedOrUnperformed
ACTIVITY,94,1,PerformedOrUnperformed
ACTIVITY,95,0,PerformedOrUnperformed
ACTIVITY,96,3,PerformedOrUnperformed
ACTIVITY,97,1,PerformedOrUnperformed
ACTIVITY,98,2,PerformedOrUnperformed
ACTIVITY,99,0,PerformedOrUnperformed
ACTIVITY,100,3,PerformedOrUnperformed
ACTIVITY,101,4,PerformedOrUnperformed
ACTIVITY,102,2,PerformedOrUnperformed
ACTIVITY,103,2,PerformedOrUnperformed
ACTIVITY,104,4,PerformedOrUnperformed
ACTIVITY,105,4,PerformedOrUnperformed
ACTIVITY,106,0,PerformedOrUnperformed
ACTIVITY,107,1,PerformedOrUnperformed
ACTIVITY,108,1,PerformedOrUnperformed
ACTIVITY,109,2,PerformedOrUnperformed
ACTIVITY,110,1,PerformedOrUnperformed
ACTIVITY,111,4,PerformedOrUnperformed
ACTIVITY,112,0,PerformedOrUnperformed
ACTIVITY,113,1,PerformedOrUnperformed
ACTIVITY,114,0,PerformedOrUnperformed
ACTIVITY,115,1,PerformedOrUnperformed
ACTIVITY,116,3,PerformedOrUnperformed
ACTIVITY,117,0,PerformedOrUnperformed
ACTIVITY,118,3,PerformedOrUnperformed
ACTIVITY,119,0,PerformedOrUnperformed

SETUP_MATRIX|NAMES,SETUP_MATRIX_ID,FROM_STATE,TO_STATE,SETUP_TIME,SETUP_COST
SETUP_MATRIX|TYPES,int,int,int,int,float
SETUP_MATRIX,0,0,0,0,0.0
SETUP_MATRIX,0,0,1,11,5.5
SETUP_MATRIX,0,0,2,24,12.0
